지번주소,도로명주소,사업장명,위도,경도,kakao_blog_review,kakao_star,kakao_star_nums,kakao_keyword
논현동,서울특별시 강남구 강남대로 492 한맥빌딩 지하2층 (논현동),오즈아레나PC방,37.506197,127.024134,1,3.7,3,논현동 오즈아레나PC방
논현동,서울특별시 강남구 강남대로 532 신성빌딩 지하1층 (논현동),논현PC,37.5095804,127.0224836,0,2.3,3,논현동 논현PC
논현동,서울특별시 강남구 강남대로124길 3-6 지하1층 (논현동 호은빌딩),엔탑PC방,37.509078,127.0230903,0,4,3,논현동 엔탑PC방
역삼동,서울특별시 강남구 강남대로94길 10 지하2층 (역삼동),오즈피씨카페리저브 강남점,37.4991963,127.0282272,10,3.8,13,역삼동 오즈피씨카페리저브 강남점
역삼동,서울특별시 강남구 강남대로94길 55 (역삼동),네오 피씨방,37.5005326,127.0316854,0,2.3,3,역삼동 네오 피씨방
역삼동,서울특별시 강남구 강남대로96길 5 지하2층 (역삼동),게임이너스 강남역점,37.4998167,127.0274772,2,1.9,13,역삼동 게임이너스 강남역점
개포동,서울특별시 강남구 개포로 223 (개포동),매직엔PC방,37.4789525,127.0472695,0,0,0,개포동 매직엔PC방
개포동,서울특별시 강남구 개포로 233 (개포동),스타일 PC방,37.4790361,127.0481333,0,4,1,개포동 스타일 PC방
개포동,서울특별시 강남구 개포로 615 (개포동 석탑프라자),유니넷PC방,37.4926645,127.0756013,0,3.3,3,개포동 유니넷PC방
수서동,서울특별시 강남구 광평로56길 8-13 수서타워 지하111~117층 (수서동),바나나PC,37.4867657,127.1031943,0,3.3,3,수서동 바나나PC
수서동,서울특별시 강남구 광평로56길 8-9 (수서동 목화오피스텔),젤존PC방,37.4869635,127.1034401,0,3,3,수서동 젤존PC방
도곡동,서울특별시 강남구 남부순환로 2609 지하1층 (도곡동),게임이너스 양재점,37.4849802,127.0351301,0,3.6,16,도곡동 게임이너스 양재점
역삼동,서울특별시 강남구 논현로 327 (역삼동 명호빌딩),아이센스PC,37.4944701,127.0396202,10,4.3,12,역삼동 아이센스PC
역삼동,서울특별시 강남구 논현로 328 지하1층 (역삼동),탑 플레이스 pc방,37.4946822,127.0402338,0,2,4,역삼동 탑 플레이스 pc방
역삼동,서울특별시 강남구 논현로 405 해은빌딩 지층 (역삼동),리얼피시방,37.4962341,127.0387372,0,1,1,역삼동 리얼피시방
개포동,서울특별시 강남구 논현로 60 (개포동 영광빌딩),크림피씨,37.4756722,127.0471169,0,3,1,개포동 크림피씨
논현동,서울특별시 강남구 논현로 612 M빌딩 지하1층 (논현동),탑플레이스 PC방 ,37.508411,127.0337524,2,3.2,5,논현동 탑플레이스 PC방 
신사동,서울특별시 강남구 논현로 868 구정빌딩 지하1층 (신사동),Geekstar PC방,37.5260958,127.028912,0,3.3,3,신사동 Geekstar PC방
역삼동,서울특별시 강남구 논현로63길 19 지상2층 (역삼동),3POP 피시방,37.492493,127.0393149,0,1.5,2,역삼동 3POP 피시방
역삼동,서울특별시 강남구 논현로85길 33 (역삼동),솔리드PC방,37.4983519,127.0354396,0,0,0,역삼동 솔리드PC방
대치동,서울특별시 강남구 도곡로 445 (대치동 현민빌딩),파빌리온PC카페,37.4986394,127.0590621,0,1,2,대치동 파빌리온PC카페
대치동,서울특별시 강남구 도곡로 448 (대치동 동서빌딩),반트PC,37.4981189,127.0595717,0,1,1,대치동 반트PC
대치동,서울특별시 강남구 도곡로 519 구공빌딩 지하1층 (대치동),이로운친구,37.4999068,127.0631158,4,0,0,대치동 이로운친구
신사동,서울특별시 강남구 도산대로 113 (신사동),오즈 쓰리팝 PC방,37.5170222,127.0208674,1,3,4,신사동 오즈 쓰리팝 PC방
논현동,서울특별시 강남구 도산대로50길 9 지하1층 (논현동),맥스피드PC방,37.5217443,127.0376648,0,0,0,논현동 맥스피드PC방
삼성동,서울특별시 강남구 봉은사로 467 세창빌딩 지하1층 (삼성동),제로백PC방,37.5125295,127.0506552,0,0,0,삼성동 제로백PC방
논현동,서울특별시 강남구 봉은사로29길 21 성우빌딩 1층 201호 (논현동),헌터피씨방 언주역점,37.5087684,127.0340245,2,1,1,논현동 헌터피씨방 언주역점
논현동,서울특별시 강남구 봉은사로29길 5 1층 (논현동),논현PC,37.5080127,127.0346497,0,2.3,3,논현동 논현PC
역삼동,서울특별시 강남구 봉은사로30길 11 지하1층 (역삼동 역삼동658빌딩),시그니처PC방,37.5068208,127.0355036,0,0,0,역삼동 시그니처PC방
역삼동,서울특별시 강남구 봉은사로50길 8 지하1층 (역삼동),네오PC방 선정릉역점,37.5092318,127.0424441,0,2.3,3,역삼동 네오PC방 선정릉역점
대치동,서울특별시 강남구 삼성로 321 (대치동),공원여행PC zone,37.5004772,127.0596922,0,5,1,대치동 공원여행PC zone
대치동,서울특별시 강남구 삼성로 345 S빌딩 지하1층 (대치동),비원PC방,37.5023082,127.0587286,0,0,0,대치동 비원PC방
대치동,서울특별시 강남구 삼성로 430 하이글로빌딩 지하1층 (대치동),3POP PC CAFE,37.5052928,127.0577948,0,1.3,16,대치동 3POP PC CAFE
청담동,서울특별시 강남구 삼성로 706 추탄빌딩 지하1층 (청담동),ing pc cafe,37.5193513,127.0503161,0,0,0,청담동 ing pc cafe
삼성동,서울특별시 강남구 삼성로92길 13 (삼성동),클라우드 ,37.5080068,127.0575994,0,0,0,삼성동 클라우드 
논현동,서울특별시 강남구 선릉로 663 영창빌딩 지하1층 (논현동),맥스피드PC 강남구청점,37.5158547,127.0414826,0,0,0,논현동 맥스피드PC 강남구청점
논현동,서울특별시 강남구 선릉로 667 라이즈스퀘어 지하1층  호 (논현동),픽,37.51627,127.0413544,0,1.8,4,논현동 픽
대치동,서울특별시 강남구 선릉로86길 15 현대선릉 GOLD TOWER 지하1층 (대치동),쓰리팝피씨카페,37.5035315,127.0508605,2,2.3,6,대치동 쓰리팝피씨카페
