소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
사당동,"서울특별시 강남구 강남대로156길 14 (신사동,지상1층)",히로,37.5180502,127.020401,고기,4,2,4
신월동,"서울특별시 강남구 강남대로 502, 서희빌딩 지하1층 (논현동)",서울갈비숯불화로구이,37.5071435,127.0236892,고기,5,2,0
봉천동,서울특별시 강남구 강남대로94길 59 (역삼동),낙성푸줏간,37.5006571,127.0320926,고기,3.3,10,90
봉천동,"서울특별시 강남구 강남대로158길 26, 지상1층 (신사동)",삼다돈가,37.519192,127.0209252,고기,2.8,5,4
이문동,"서울특별시 강남구 강남대로122길 52 (논현동,지상1층)",꼬기92,37.5089968,127.027192,고기,5,3,8
화양동,"서울특별시 강남구 강남대로158길 9, 지상1층 101호 (신사동)",화양양고기꼬치전문점,37.5189555,127.0197659,고기,4.8,9,27
도곡동,"서울특별시 강남구 강남대로 438 (역삼동,2층 214,215호)",소우락 도곡점,37.5016424,127.0263372,고기,2.8,4,3
목동,"서울특별시 강남구 강남대로 358 (역삼동,지하1층)",안동돼지갈비,37.4950692,127.0298087,고기,3.3,29,29
방학동,"서울특별시 강남구 강남대로162길 18, 지상1층 (신사동)",태능갈비,37.5199334,127.0200648,고기,0,0,0
성수동2가,"서울특별시 강남구 강남대로152길 23, 지하1층 B02호 (신사동)",잠수교집,37.5176911,127.0212391,고기,3.5,29,105
청량리동,"서울특별시 강남구 강남대로122길 22, 지상1층 (논현동)",명품참숯화로구이,37.5081115,127.024821,고기,0,0,2
장안동,서울특별시 강남구 강남대로122길 9 (논현동),만나고쪽갈비,37.5078519,127.0239286,고기,0,0,0
가산동,"서울특별시 강남구 강남대로 416 (역삼동,2층)",명품생고기,37.4998129,127.0271777,고기,5,1,1
상도동,서울특별시 강남구 강남대로78길 25 (역삼동),뿔발 상도점,37.4954383,127.0312865,고기,0,0,1
여의도동,"서울특별시 강남구 강남대로114길 20, 지하1층 5호 (논현동)",황소갈비,37.5059255,127.0258748,고기,3.8,4,16
송파동,"서울특별시 강남구 강남대로84길 33 (역삼동,지하1층114호)",명품 횡성한우촌,37.4975461,127.0310934,고기,3.7,3,0
독산동,"서울특별시 강남구 강남대로 412 (역삼동,지하1층)",말뚝곱창 금천롯데캐슬점,37.4995184,127.0272984,고기,3,6,11
성수동1가,"서울특별시 강남구 강남대로120길 9, 1층,2층 (논현동)",스모크 피기,37.5071472,127.0242989,고기,5,3,18
구로동,"서울특별시 강남구 강남대로94길 28, 유니언타운 강남 지하2층 주방11호 (역삼동)",미소정육식당,37.4996515,127.0296218,고기,2.2,5,32
석촌동,"서울특별시 강남구 강남대로120길 12, 지상1층 (논현동)",맛찬들 삼겹,37.5070521,127.0245515,고기,0,0,0
미아동,"서울특별시 강남구 강남대로124길 23, 지상1층 102,103호 (논현동)",대박곱창,37.5093663,127.0245394,고기,5,1,0
방학동,"서울특별시 강남구 강남대로152길 63, 지하1,지상1층 (신사동)",돈사구,37.518918,127.0242503,고기,0,0,0
상계동,"서울특별시 강남구 강남대로136길 63, 1층 (논현동)",꼬꼬야숯불뜨겁니!,37.5145162,127.0254447,고기,4.3,3,4
월계동,"서울특별시 강남구 강남대로128길 22, 1층 102호 (논현동)",고려숯불갈비,37.51008,127.0241275,고기,0,0,0
신대방동,"서울특별시 강남구 강남대로136길 5-4, 지하1층 10호 (논현동)",더꼬치다,37.5133317,127.0213464,고기,1.5,2,0
송정동,서울특별시 강남구 강남대로110길 16 (역삼동),고바우생삼겹,37.5038001,127.0262428,고기,5,3,0
독산동,"서울특별시 강남구 강남대로146길 28, 201동 지하1층 7호 (논현동, 논현아파트)",농협안심한우마을,37.5148589,127.0228831,고기,2.6,8,9
장안동,"서울특별시 강남구 강남대로94길 57, 지하1층 (역삼동)",부타,37.5006068,127.0319109,고기,0,0,10
봉천동,"서울특별시 강남구 강남대로156길 33 (신사동,지상1층)",소랑돼지랑,37.5188895,127.0217755,고기,4.5,2,17
쌍문동,"서울특별시 강남구 강남대로 240, 지하1층 B111,B113,B117호 (도곡동, 양재SK허브프리모)",고기,37.4852658,127.0344506,고기,4.3,81,34
상도동,"서울특별시 강남구 강남대로128길 38, 지상1층 101호 (논현동)",마라양꼬치,37.5107025,127.0251973,고기,0,0,2
중계동,"서울특별시 강남구 강남대로136길 5-4, 지하1층 14호 (논현동)",중계동 삼겹살,37.5133317,127.0213464,고기,5,1,8
