,지번주소,도로명주소,위도,경도,사업장명,kakao_star,kakao_star_nums,kakao_blog_review
4865,합정동,서울특별시 마포구 월드컵로3길 31 지하1층 (합정동),37.5502124,126.9110497,보리노래연습장,0,0,0
5999,양평동4가,서울특별시 영등포구 양평로 93 지하1층 (양평동4가 양화빌딩)',37.5362182,126.8967565,파티파티노래연습장,0,0,0
7568,천호동,서울특별시 강동구 구천면로34길 48 (천호동),37.5423907,127.1338259,스카이노래연습장,0,0,0
10715,대림동,서울특별시 영등포구 도림천로 367 (대림동),37.492115,126.8960305,파티노래연습장,0,0,0
9193,서교동,서울특별시 마포구 와우산로21길 36 2.3층 (서교동)',37.5524767,126.9219826,Intro S 코인노래연습장,0,0,0
1049,공항동,서울특별시 강서구 공항대로 24 지층 (공항동)',37.561178,126.8099671,라이브 노래연습장,0,0,0
641,수유동,서울특별시 강북구 도봉로 379 2층 (수유동)',37.6410324,127.0284696,샤인노래연습장,0,0,0
10647,목동,서울특별시 양천구 목동동로 385 지1층 (목동 벽산미라지타워)',37.5359057,126.8795012,세븐스타코인노래연습장 목동점,0,0,1
4158,방학동,서울특별시 도봉구 방학로5길 10 (방학동지1층),37.6623196,127.0374171,지구노래연습장,0,0,0
1094,등촌동,서울특별시 강서구 화곡로63길 129 2층 (등촌동)',37.5587819,126.845967,엔젤스코인노래연습장,4.9,19,0
5509,구로동,서울특별시 구로구 구로동로18길 34 (구로동지층)',37.4876951,126.886327,수석노래연습장,0,0,0
10141,석촌동,서울특별시 송파구 삼학사로 72 지층 (석촌동)',37.5037443,127.0973468,빙고노래연습장,0,0,0
9280,홍제동,서울특별시 서대문구 통일로 470 (홍제동지층)',37.5903506,126.9428405,휘노래연습장,0,0,0
10706,도림동,서울특별시 영등포구 도영로 19 (도림동지하1층)',37.5085339,126.8955281,타이타닉,0,0,0
78,신사동,서울특별시 강남구 압구정로28길 21 지하1층 (신사동)',37.5250836,127.0278765,두드락노래연습장,4.5,2,0
8185,월계동,서울특별시 노원구 월계로 335 지층 (월계동 해성태권도체육관)',37.6291761,127.0578385,썬,0,0,0
9098,도화동,서울특별시 마포구 토정로37길 46 지하1층 27호 (도화동 정우빌딩)',37.5426083,126.9473125,번개 노래연습장,0,0,0
