지번주소,도로명주소,사업장명,위도,경도,kakao_star,kakao_star_nums,kakao_blog_review
중곡동,서울특별시 광진구 영화사로 10 2층 (중곡동),오렌지 당구장,37.5579036,127.0885233,0,0,0
오류동,서울특별시 구로구 오류로 75  (오류동2층),특실당구장,37.4911633,126.8405811,0,0,0
이태원동,서울특별시 용산구 우사단로14길 3 (이태원동),웰빙당구클럽,37.534112,126.995863,0,0,0
구의동,서울특별시 광진구 자양로22길 24 2층 (구의동 상우빌딩),에이스 당구클럽,37.5395025,127.0847639,0,0,0
방이동,서울특별시 송파구 올림픽로32길 29 (방이동 유성빌딩),나이스당구장,37.5134183,127.1099411,0,0,0
대방동,서울특별시 동작구 상도로 65 (대방동대방빌딩 지하1층),아이에스당구장,37.4999844,126.9279174,0,0,0
전농동,서울특별시 동대문구 서울시립대로 46 (전농동),허슬러 당구장,37.5753906,127.0472987,0,0,0
신정동,서울특별시 양천구 신정중앙로 90 3층 (신정동),J&J 당구클럽,37.526334,126.8616551,0,0,0
인현동1가,서울특별시 중구 마른내로4길 23 (인현동1가 동아빌딩),블루당구장,37.5632294,126.9937619,0,0,0
문래동4가,서울특별시 영등포구 도림로147길 22  (문래동4가),V당구장,37.5151764,126.8883802,0,0,0
구로동,서울특별시 구로구 구로동로 96-4  (구로동),프로당구장,37.4875156,126.8853358,0,0,0
도봉동,서울특별시 도봉구 도봉로153길 30 지하1층 (도봉동),망치 당구장,37.6700597,127.0417269,0,0,0
방화동,서울특별시 강서구 양천로26길 75 3층 (방화동),만당구장,37.5724846,126.8207704,0,0,0
보광동,서울특별시 용산구 우사단로 2-1 (보광동 신진약국신경란의원),폴리당구클럽,37.5305755,126.9969244,0,0,0
오류동,서울특별시 구로구 오류로8길 96  (오류동),역전당구장,37.4931887,126.8453329,0,0,0
서교동,서울특별시 마포구 독막로7길 40 지하1층 (서교동),이태리당구장,37.549463,126.9197112,0,0,0
서교동,서울특별시 마포구 양화로6길 67 3층 (서교동 정명빌딩),대흥 당구장,37.5487036,126.9179959,0,0,0
상도동,서울특별시 동작구 상도로61길 48 (상도동),마이큐 당구클럽,37.4946689,126.9573923,0,0,0
화곡동,서울특별시 강서구 곰달래로 215 3층 (화곡동),당구치기좋은날,37.5317172,126.8567992,0,0,0
봉천동,서울특별시 관악구 남부순환로 1741 지층 (봉천동),초이스,37.4825626,126.9436246,0,0,0
