지번주소,도로명주소,사업장명,위도,경도,kakao_star,kakao_star_nums,kakao_blog_review
역삼동,서울특별시 강남구 봉은사로2길 31 지하 1층 코드케이,코드케이 방탈출카페,37.5026057,127.0265737,3.1,16,93
역삼동,서울특별시 강남구 강남대로 432 점프밀라노 7층 704호 세븐클루스,세븐클루스,37.501235,127.0266249,1,1,141
역삼동,서울특별시 강남구 강남대로96길 17 6층,키이스케이프 강남점,37.5001243,127.0284145,5,3,115
역삼동,서울특별시 강남구 강남대로84길 33 대우디오빌플러스 지하1층 111호,비트포비아 강남던전,37.4975461,127.0310934,4.1,7,133
역삼동,서울특별시 강남구 강남대로94길 11 지하1층,넥스트에디션 강남5호점,37.4995598,127.0282643,3.7,6,49
역삼동,서울특별시 강남구 강남대로96길 15 3층,넥스트에디션 강남2호점,37.5000922,127.0282396,2,2,68
역삼동,서울특별시 강남구 봉은사로6길 26 지하1층,마스터키 강남점,37.5033238,127.0271337,4.8,6,124
역삼동,서울특별시 강남구 테헤란로4길 32 우정에쉐르1 지하1층,비트포비아 강남던전2,37.4963697,127.0301725,0,0,9
역삼동,"서울특별시 강남구 강남대로102길 20 3,4,5층 서울 이스케이프 룸 강남2호점",서울이스케이프룸 강남2호점,37.5022539,127.0273335,4,14,132
역삼동,서울특별시 강남구 강남대로102길 40 지하1층,포인트나인,37.5034449,127.0283749,0,0,37
신사동,서울특별시 강남구 강남대로152길 40 석천빌딩 4층,시그널헌터 가로수길점,37.5179867,127.0225526,5,1,16
역삼동,서울특별시 강남구 강남대로 446 강남한웰빌딩 5층,더클루 강남점,37.5024003,127.0259642,2.5,2,21
역삼동,서울특별시 강남구 봉은사로2길 16 현도빌딩 지하1층,엑스케이프 강남점,37.5035724,127.0256684,5,3,24
신사동,서울특별시 강남구 논현로175길 93 지하1층,이스케이프 샾,37.5229328,127.0216592,0,0,18
역삼동,서울특별시 강남구 강남대로98길 20 4층,라스트 이스케이프,37.5007567,127.0282603,5,2,37
역삼동,서울특별시 강남구 테헤란로2길 8 동일빌딩 지하1층,세븐클루스 강남1호점,37.4976293,127.0287286,3,2,91
역삼동,서울특별시 강남구 테헤란로4길 35 지하2층,룸즈에이 강남점,37.4961513,127.0307044,0,0,6
대치동,"서울특별시 강남구 테헤란로64길 24 6층(대치동, 유경빌딩)",CSIVR방탈출카페 대치선릉점,37.5033369,127.0514665,5,1,8
신사동,서울특별시 강남구 선릉로157길 20-5 신사빌딩,홀릭이스케이프 압구정본점,37.5265493,127.0382215,5,2,12
역삼동,서울특별시 강남구 봉은사로18길 80,이스케이프탑 강남점,37.5015609,127.0274026,3,1,23
역삼동,서울특별시 강남구 강남대로94길 67 도연빌딩 지하1층,싸인이스케이프 강남시티점,37.5008366,127.0325614,0,0,2
천호동,서울특별시 강동구 천호대로157길 22,큐브이스케이프 천호점,37.5386565,127.1274839,3.2,6,18
수유동,서울특별시 강북구 도봉로87길 11,큐브이스케이프 수유점,37.6383347,127.0248818,4.3,8,91
수유동,서울특별시 강북구 도봉로87길 7 4층 일루전 이스케이프,일루전 이스케이프,37.6381851,127.0250664,3,1,19
신림동,서울특별시 관악구 신림로 322-4 2층,룸엘이스케이프,37.4830749,126.930439,0,0,50
신림동,서울특별시 관악구 남부순환로 1598 지하1층,넥스트에디션 신림점,37.4838429,126.9283155,5,1,67
신림동,서울특별시 관악구 남부순환로176길 8 3층 셜록홈즈 신림1호점,셜록홈즈 신림1호점,37.4835681,126.9282332,3,3,38
신림동,서울특별시 관악구 남부순환로 1596 4층 더코드,더코드 신림점,37.4837712,126.9281091,4.6,5,31
봉천동,서울특별시 관악구 남부순환로226길 9,셜록홈즈 서울대입구점,37.4802031,126.9540867,2.4,5,7
신림동,서울특별시 관악구 신림로59길 9 4층,비트포비아 신림,37.4829667,126.9291591,1.8,6,16
신림동,서울특별시 관악구 신림로 327 지하1층,셜록홈즈 신림2호점,37.4834835,126.9295842,5,1,2
신림동,서울특별시 관악구 신림로 330 포도몰 11층 미스터힐링,미스터힐링 신림포도몰점,37.4838598,126.9302425,2.9,9,45
화양동,서울특별시 광진구 동일로24길 102 2층,비밀의화원 포레스트,37.54223,127.0704988,4.8,6,23
자양동,서울특별시 광진구 아차산로26길 13 B1,더메이즈,37.5406814,127.0661688,4.9,9,126
군자동,서울특별시 광진구 광나루로 379,비트포비아 건대,37.5482929,127.0721015,0,0,60
화양동,서울특별시 광진구 아차산로 235 3층,비밀의화원 건대점,37.5406201,127.0695369,5,1,29
