지번주소,도로명주소,사업장명,위도,경도,kakao_star,kakao_star_nums,kakao_blog_review
보라매동,서울특별시  봉천로 209,롯데쇼핑,37.4905694,126.9249111,2.3,27,27
구의동,서울특별시 광진구 광나루로56길 85 (구의동),롯데쇼핑,37.5357263,127.0957093,0,0,0
압구정동,서울특별시 강남구 압구정로 407 (압구정동 갤러리아백화점),갤러리아백화점,37.5279285,127.0418579,0,0,0
독산동,서울특별시 금천구 시흥대로 399 (독산동),시티렉스,37.4693592,126.8970019,4,3,1
구로동,서울특별시 구로구 구로중앙로 237 (구로동),라이프공구상가,37.5063052,126.8755048,5,1,1
종암동,서울특별시 성북구 종암로 132 (종암동 종암우림카이저팰리스),종암우림카이저팰리스주상복합,37.6019266,127.0334985,0,0,2
역촌동,서울특별시 은평구 진흥로 103 (역촌동),롯데쇼핑,37.6060814,126.9224228,3,6,1
문정동,서울특별시 송파구 중대로 80 (문정동),롯데쇼핑,37.491762,127.1178428,3.1,18,17
도봉동,서울특별시 도봉구 마들로 724 (도봉동),도봉한양프라자,37.6745449,127.047664,0,0,0
묵1동,서울특별시 중랑구 동일로 932 (묵동),주식회사 이마트 묵동점,37.6138821,127.0776975,2.7,8,7
사당3동,서울특별시 동작구 사당로 215 (사당동),홈플러스,37.484352,126.9723834,3.7,24,18
대학동,서울특별시 관악구 신림로23길 16 (신림동),일성트루엘상가,37.4704407,126.9344695,0,0,0
개포동,서울특별시 강남구 개포로109길 21 (개포동 대청아파트),대치2단지상가,37.4950668,127.0771093,0,0,0
화곡4동,서울특별시 강서구 등촌로5길 80 (화곡동),씨에스유통 ,37.5331262,126.8589452,0,0,0
마곡동,서울특별시 강서구 마곡서로 101 동익드미라벨복합빌딩 (마곡동),노브랜드 강서마곡점,37.5626708,126.8236057,3.5,4,13
수유1동,서울특별시 강북구 도봉로67길 18 (수유동),롯데쇼핑,37.6307463,127.0227328,0,0,0
독산동,서울특별시 금천구 시흥대로 391 (독산동),홈플러스,37.4686639,126.8968853,3.4,19,27
전농1동,서울특별시 동대문구 왕산로 214 (전농동),롯데백화점 청량리역사점,37.5841971,127.051139,0,0,0
독산동,서울특별시 금천구 시흥대로 391 (독산동),삼성테스코,37.4686639,126.8968853,1,2,0
미아동,서울특별시 강북구 솔샘로 233 동북프라자 (미아동),동북시장,37.6201527,127.0187184,0,0,0
신내1동,서울특별시 중랑구 봉화산로 221 (신내동),동성타워프라자,37.6080311,127.0972158,0,0,2
거여2동,서울특별시 오금로 512,홈플러스,37.4928771,127.145538,0,0,0
대치동,서울특별시 강남구 삼성로64길 41 (대치동),대치종합상가,37.5010163,127.0637046,5,10,55
