지번주소,도로명주소,사업장명,위도,경도,kakao_star,kakao_star_nums,kakao_blog_review
서대문구,서울특별시 서대문구 이화여대1길 10 예스에이피엠,놀러와볼링센터,37.5576576,126.9449706,3.6,13,21
동대문구,서울특별시 동대문구 회기로28길 8,보스턴볼링,37.5894649,127.0559559,2,3,2
마포구,서울특별시 마포구 양화로 156 308호,홍대볼링장,37.5560982,126.9234581,2.1,11,6
구로구,서울특별시 구로구 구로중앙로 134 신구로자이 나인스에비뉴,mk볼링센터 구로점,37.4999176,126.8846199,3.5,12,6
서대문구,서울특별시 서대문구 명지대길 103,충암볼링장,37.5846158,126.9228739,2.5,2,2
금천구,서울특별시 금천구 시흥대로 440,크로바볼링장,37.4729058,126.8989048,3.8,5,2
영등포구,서울특별시 영등포구 국회대로 800 진미파라곤 지하2층,퍼스트비앤피 여의도점,37.5309294,126.9210835,1.7,6,12
강남구,서울특별시 강남구 도산대로 232,글로우 스트라이크,37.5205416,127.0326418,5,4,23
마포구,서울특별시 마포구 양화로 104 지하1층,w락볼링장,37.5527789,126.9192308,1.6,9,14
서초구,서울특별시 서초구 방배천로2길 10 지하 1층,스매싱볼 사당점,37.4767608,126.9833178,3.1,19,39
은평구,서울특별시 은평구 증산로 253 증산동볼링장,다우볼링센타,37.5810018,126.9058124,2,1,3
금천구,서울특별시 금천구 시흥대로 399 지하1층,아미고볼링,37.4693592,126.8970019,0,0,2
강서구,서울특별시 강서구 양천로 583 우림블루나인비지니스센터 b동 지하101호 블루나인볼링장,블루나인볼링텍,37.5570451,126.8642592,0,0,0
송파구,서울특별시 송파구 충민로 52 지하1층 57호 가든파이브 웍스관,스핀볼링센터 가든5,37.4776993,127.1225324,1.8,12,11
강남구,서울특별시 강남구 강남대로 468 충림빌딩,스매싱볼 강남점,37.5041598,127.0251636,3.3,58,47
종로구,서울특별시 종로구 종로 78,스매싱볼 종로점,37.569884,126.9860582,3.2,23,45
광진구,서울특별시 광진구 강변역로 50 동서울터미널 6층,동서울그랜드볼링센터,37.534538,127.0942004,3.6,10,33
중구,서울특별시 중구 을지로 264,가인볼링장,37.5657367,127.0070531,0,0,4
서대문구,서울특별시 서대문구 신촌역로 10 혜우빌딩,타겟볼링,37.5576545,126.9432653,3.5,2,4
성북구,서울특별시 성북구 화랑로 254,제이제이볼링장,37.6108094,127.0576141,0,0,0
서대문구,서울특별시 서대문구 신촌로 73 케이스퀘어 8층,스카이락볼링장,37.5563093,126.9345387,1.7,6,9
영등포구,서울특별시 영등포구 영등포로28길 5 당산동코오롱주.상복합아파트,로얄볼링센터,37.5200757,126.8990052,4.6,20,21
송파구,서울특별시 송파구 오금로11길 12 아우라 락 볼링장 지하1층,아우라 락 볼링장,37.5143413,127.1085871,2.3,3,8
송파구,서울특별시 송파구 백제고분로 365 태문빌딩,석촌볼링장,37.5052718,127.1063142,1.7,6,13
서초구,서울특별시 서초구 강남대로61길 13 지하1층 템플스트라이크,템플스트라이크,37.4989021,127.0255752,2.8,6,68
강북구,서울특별시 강북구 도봉로 399 CGC수유 3층,볼링펍cgv수유점,37.6424159,127.0298203,0,0,0
마포구,서울특별시 마포구 와우산로 111,태화볼링장,37.5534661,126.9257305,1.1,21,7
송파구,서울특별시 송파구 올림픽로 114,팡팡락볼링장,37.5113949,127.083202,2.4,5,12
마포구,서울특별시 마포구 마포대로 52 4층 클럽스트라이크,클럽스트라이크볼링장,37.5403379,126.9476643,3.5,26,6
강서구,"서울특별시 강서구 강서로54길 42 2층,3층",볼원볼링장,37.5588147,126.8411109,0,0,1
종로구,서울특별시 종로구 새문안로3길 30 대우빌딩 지하1층,볼링라운지 더프레임,37.5727373,126.9733705,5,1,6
송파구,서울특별시 송파구 거마로 14 지하1층,제이에스비 서울거여지점,37.4940305,127.1453595,0,0,1
노원구,서울특별시 노원구 동일로180길 14,공릉볼링센터,37.6220758,127.0752937,2.3,4,4
노원구,서울특별시 노원구 섬밭로 258 건영백화점,건영옴니볼링센터,37.6388763,127.0648461,4.5,3,1
강남구,서울특별시 강남구 언주로85길 13 경남아파트 지하1층,볼링시티,37.5009285,127.042134,3.6,5,37
중랑구,서울특별시 중랑구 봉화산로 221 동성타워프라자 지하 2층,bk플러스볼링장,37.6080311,127.0972158,3.3,3,2
서초구,서울특별시 서초구 서초대로70길 32 코오롱스포렉스,코오롱스포렉스 볼링장,37.4938968,127.0234626,3,1,0
용산구,서울특별시 용산구 한강대로 257 청룡빌딩,뉴청룡볼링장,37.5412528,126.9725576,3,2,3
강서구,서울특별시 강서구 공항대로 213 보타닉파크타워2 B1,파크볼링장,37.5596993,126.8313656,5,2,4
영등포구,서울특별시 영등포구 국회대로36길 17,천호락볼링클럽,37.525792,126.8981,1.1,11,4
강서구,서울특별시 강서구 공항대로41길 34,몬스터볼,37.5592839,126.8457301,4.5,2,7
광진구,서울특별시 광진구 능동로13길 39,한아름볼링프라자,37.5439592,127.0697702,4.5,17,18
구로구,서울특별시 구로구 디지털로32나길 38 서림빌딩 지하2층,더 블루 볼링장,37.4845467,126.9012185,0,0,3
영등포구,서울특별시 영등포구 영중로 12,영등포볼링장,37.5176345,126.9065192,2.5,12,24
강남구,서울특별시 강남구 역삼로 604,삼성볼링장,37.5052733,127.066219,4.3,6,9
성북구,서울특별시 성북구 보문로34길 69 창천프라자,성신볼링장,37.5913022,127.0190761,4,2,1
동대문구,서울특별시 동대문구 경희대로 18,볼링스타,37.5929858,127.052854,3,5,1
관악구,서울특별시 관악구 신림로 340 르네상스복합쇼핑몰,제이앤제이볼링센터,37.4847794,126.930118,1,7,13
강남구,서울특별시 강남구 강남대로 308 랜드마크타워 지하2층,라인볼링장,37.4906371,127.0317381,1.5,19,3
성북구,서울특별시 성북구 길음로7길 36-12 2층,yb볼링센터,37.6033487,127.0219995,2.3,3,0
동작구,서울특별시 동작구 보라매로5가길 16 아카데미 타워 상가건물 7층 보라매 볼링장,보라매볼링장,37.4913263,126.924075,1,3,11
은평구,서울특별시 은평구 서오릉로 94 지하1층,삼정볼링장,37.6088158,126.9217897,0,0,1
성동구,서울특별시 성동구 뚝섬로 447 지하1층,희소볼링장,37.5378302,127.060336,2,2,1
동작구,서울특별시 동작구 상도로 102 성대시장 3층,성대볼링센터,37.4999427,126.9317763,3,3,2
노원구,서울특별시 노원구 동일로204가길 34,볼러스레인,37.6407272,127.06816,2,7,1
강서구,서울특별시 강서구 양천로 706,강서볼링센터,37.5496127,126.8744065,5,2,1
영등포구,서울특별시 영등포구 영중로 15 타임스퀘어 5F 501,코오롱스포렉스 타임스퀘어점,37.5172058,126.903714,4.9,34,143
종로구,서울특별시 종로구 대학로 144 4층 나인티나인,나인티나인,37.5839822,127.0020846,2.8,5,2
노원구,서울특별시 노원구 동일로180길 14,공릉프로샵,37.6220758,127.0752937,0,0,0
강서구,서울특별시 강서구 양천로 461 주영빌딩,주영볼링센터,37.5630495,126.8522408,3,1,4
노원구,서울특별시 노원구 화랑로 325 4층 우현빌딩,블랙홀볼링센터,37.6149399,127.0640504,5,3,4
동대문구,서울특별시 동대문구 망우로 123,우창볼링센터,37.5917173,127.0666048,0,0,0
도봉구,서울특별시 도봉구 도당로 75,스윙볼링장,37.6649065,127.0354116,0,0,0
동대문구,서울특별시 동대문구 천호대로 405 동보빌딩,동보볼링센타,37.5620161,127.0641904,3,5,1
도봉구,서울특별시 도봉구 도봉로 578,미화볼링장,37.6563038,127.0397273,5,1,3
노원구,서울특별시 노원구 노해로 507 와우쇼핑몰 지하1층,더블랙볼링장,37.6554251,127.063937,1,1,12
노원구,서울특별시 노원구 상계로 55 위성프라자,그린라이트볼링장,37.6560588,127.0611963,3.2,9,7
광진구,서울특별시 광진구 자양강변길 31,볼리즘,37.5339919,127.0611306,0,0,3
강동구,서울특별시 강동구 천호대로157길 14 나비쇼핑몰 5층,놀자go볼링장,37.5382236,127.127334,5,1,21
강남구,서울특별시 강남구 봉은사로114길 20 지하1.2층,가인 볼링장,37.5137611,127.0653725,4.3,6,9
강동구,서울특별시 강동구 올림픽로 664 대우한강베네시티 지하2층,스핀볼링장,37.5405554,127.1249758,4.6,5,7
구로구,서울특별시 구로구 디지털로31길 12 태평양물산빌딩 지하1층,앵커스 볼링라운지,37.4852224,126.8949784,4.5,6,20
양천구,서울특별시 양천구 신월로 354,세원볼링센타,37.5216709,126.8602059,2.8,6,1
종로구,서울특별시 종로구 창덕궁1길 13,원서레인스,37.5791131,126.9884461,5,1,0
강서구,서울특별시 강서구 양천로26길 18,정곡볼링장,37.5727929,126.8179303,0,0,0
강북구,서울특별시 강북구 삼양로 424,우이볼링장,37.6414233,127.017134,5,2,1
마포구,서울특별시 마포구 독막로7길 48,스매싱볼 홍대점,37.5498492,126.9199191,2.3,38,41
중랑구,서울특별시 중랑구 중랑천로10길 76 삼보볼링센타,삼보볼링장,37.5922486,127.0773545,4.6,23,1
강북구,서울특별시 강북구 도봉로 342,더블유볼링,37.6380351,127.0261456,1,2,1
종로구,서울특별시 종로구 종로12길 15 4층,제이앤제이볼링센터,37.5693665,126.9860377,0,0,1
송파구,서울특별시 송파구 올림픽로 545 에스원볼링센터 2층,에스원볼링센터,37.5308353,127.1201863,3.9,7,7
영등포구,서울특별시 영등포구 선유로 27 대륭오피스텔,동양볼링센터,37.5166504,126.8879596,3.8,5,4
중구,서울특별시 중구 퇴계로18길 14 프라자빌딩,엘씨아이볼링장,37.5601832,126.9850843,1.8,12,2
중구,서울특별시 중구 퇴계로 166 흥국빌딩,코끼리볼링장,37.5608951,126.9901834,2.7,11,14
영등포구,서울특별시 영등포구 영중로 12 에쉐르아이쇼핑몰 6층,제이앤제이볼링센터,37.5176345,126.9065192,1.5,6,1
용산구,서울특별시 용산구 한강대로 273 용산빌딩,남영볼링센터,37.5425721,126.9721179,3.3,7,7
광진구,서울특별시 광진구 능동로13길 39 한아름쇼핑센타,한아름프로샵,37.5439592,127.0697702,4.5,17,18
종로구,서울특별시 종로구 종로 413 동보빌딩,동아볼링센타,37.5759601,127.0226894,1,2,3
동대문구,서울특별시 동대문구 장한로2길 33 지하1층,장안퍼펙트볼링센터,37.5622999,127.0672283,0,0,7
중랑구,서울특별시 중랑구 용마산로129나길 6 현대스포츠센타,현대볼링장,37.6069092,127.0996033,1.6,9,0
강남구,서울특별시 강남구 선릉로 818 지하2층 스매싱볼 청담점,스매싱볼 청담점,37.5247741,127.0400639,4.7,7,24
동대문구,서울특별시 동대문구 천호대로 405,스타볼링센터,37.5620161,127.0641904,3,5,1
강북구,서울특별시 강북구 도봉로 34 트레지오 8층,rnb볼링장,37.6120803,127.0307347,1,1,3
도봉구,서울특별시 도봉구 도봉로114길 22-8 지하1층,쌍문나이스락볼링센터,37.6471244,127.0352834,5,4,20
관악구,서울특별시 관악구 신림로59길 23 삼모스포렉스빌딩 6층 볼링장,삼모볼링장,37.4828609,126.9285864,3.3,5,4
서대문구,서울특별시 서대문구 연세로 8 버티고빌딩 2층,인스타 bowling &pub,37.5561938,126.9371533,1.9,7,5
중구,서울특별시 중구 청계천로 400 롯데캐슬베네치아 메가몰동 지하1층,볼링볼링,37.5707646,127.0211246,5,1,217
영등포구,서울특별시 영등포구 경인로 775 에이스하이테크시티 1동 B143호,정석볼링장,37.5143815,126.8991421,2.5,12,24
강서구,서울특별시 강서구 공항대로 376,kbs스포츠월드볼링장,37.5568555,126.8472013,3,2,0
강남구,서울특별시 강남구 논현로 641 B1,스타24시볼링장,37.5108297,127.031597,3.6,11,6
성동구,"서울특별시 성동구 연무장7길 12 세대빌딩, B1/B2층",유니온스타볼링클럽,37.54367,127.0548547,2,5,5
구로구,서울특별시 구로구 경인로 397,길거리 돔 볼링장,37.4976219,126.864067,2.3,3,4
강북구,서울특별시 강북구 한천로 1013,럭키볼링센터,37.6383163,127.0286677,1,3,1
금천구,서울특별시 금천구 시흥대로 296,위너스볼링장,37.4596887,126.899285,2.6,6,1
중구,서울특별시 중구 장충단로 247 5층,굿모닝시티볼,37.5668017,127.0073812,2.3,3,4
서초구,서울특별시 서초구 방배로13길 18,로얄앤터프라이즈,37.4831047,126.9953391,2.5,13,8
서초구,서울특별시 서초구 방배로13길 18 방배아크로타워 지하 1층,로얄볼링센터,37.4831047,126.9953391,2.5,13,8
강서구,서울특별시 강서구 공항대로 593 3동 지하1층 B103호,도전볼링장,37.5481453,126.8715382,2.3,6,0
서초구,서울특별시 서초구 서초대로73길 42,비어앤 볼,37.5012293,127.024457,2,5,27
송파구,서울특별시 송파구 백제고분로 75 지하2층 202호,잠실볼링장,37.5099728,127.0791744,4,1,15
강동구,서울특별시 강동구 양재대로 1458,길동볼링장,37.5359009,127.1396203,5,1,0
