소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
불광동,"서울특별시 강남구 광평로 280, 로즈데일오피스텔 지하2층 124호 (수서동)",치킨플러스 불광점,37.4873192,127.103108,분식,5,2,2
을지로6가,"서울특별시 강남구 광평로 280 (수서동,로즈데일빌딩 지하2층)",싸다김밥2호점,37.4873192,127.103108,분식,1,2,0
봉천동,"서울특별시 강남구 언주로94길 9-4, 지상1층 (역삼동)",다마시따,37.5046084,127.0431528,분식,0,0,0
연건동,"서울특별시 강남구 삼성로82길 19, 지하1층 (대치동)",청호타운,37.505409,127.0592654,분식,0,0,0
상계동,"서울특별시 강남구 언주로 647 (논현동,지상1층)",마비노스 커피,37.5143533,127.0349695,분식,5,2,4
상계동,"서울특별시 강남구 논현로150길 23, 1층 (논현동)",오감면발,37.5197443,127.0303309,분식,0,0,6
을지로6가,"서울특별시 강남구 삼성로 212, 지하1층 66, 67호 (대치동, 은마상가에이블록)",굿모닝식당,37.4977415,127.0650701,분식,2.4,5,0
화양동,"서울특별시 강남구 언주로148길 27, 1,2층 (논현동)",500,37.5209994,127.0367004,분식,5,1,0
역삼동,"서울특별시 강남구 선릉로91길 18 (역삼동,지상2층)",하나,37.5048102,127.0471985,분식,0,0,0
월계동,"서울특별시 강남구 역삼로63길 24, 3층 (대치동)",인덕식당,37.5027952,127.0520222,분식,3,1,0
충무로5가,"서울특별시 강남구 논현로151길 19, 힐빌딩 지하1층 (신사동)",정성한줄 동국대점,37.5199033,127.0266925,분식,4.2,5,1
신사동,"서울특별시 강남구 양재대로33길 24 (일원동,지상1층)",기세끼,37.4910715,127.082762,분식,3.7,20,80
서초동,"서울특별시 강남구 도산대로92길 6, 지하1층 B101호 (청담동)",한양식당,37.5240752,127.0503048,분식,0,0,0
청파동2가,"서울특별시 강남구 선릉로 705 (논현동,지상1층)",빨봉분식 숙대점,37.517959,127.0407761,분식,3.7,16,26
대치동,"서울특별시 강남구 선릉로157길 33, 지상4층 (신사동)",제이제이,37.5262952,127.037063,분식,3,1,36
방배동,"서울특별시 강남구 봉은사로51길 19, 지하1층,지상1층 (논현동)",담다,37.5112752,127.0423618,분식,0,0,0
내자동,"서울특별시 강남구 논현로 722, 지하1층 (논현동)",마인드 인 더 컵,37.516633,127.0299225,분식,4.5,2,2
문래동3가,"서울특별시 강남구 도산대로89길 17, 지상1층 (청담동)",바다장어구이,37.5257064,127.0508658,분식,1,1,4
도화동,"서울특별시 강남구 학동로6길 53, 지하1층 (논현동)",김밥을사랑한라면,37.5092142,127.0268333,분식,4.9,10,1
문정동,"서울특별시 강남구 테헤란로19길 7, 1층 102호 (역삼동)",명가꼬마김밥,37.5005568,127.0334675,분식,0,0,0
역삼동,"서울특별시 강남구 선릉로153길 22, 4층 (신사동)",모모사라,37.5250144,127.0375873,분식,3.3,21,124
공릉동,"서울특별시 강남구 영동대로 513, 지하1층 M109호 (삼성동, B1 코엑스몰)",깜장떡볶이,37.5116621,127.0594275,분식,4.2,13,3
삼선동5가,"서울특별시 강남구 도산대로53길 10 (신사동,지상1층101호)",바른찌개 성북구청점,37.5237476,127.0384811,분식,0,0,0
동선동5가,"서울특별시 강남구 언주로30길 13, 지하1층 (도곡동)",카페민 성신여대점,37.4882257,127.0511303,분식,5,1,0
화곡동,"서울특별시 강남구 테헤란로25길 15-3, 지하1층 (역삼동)",짠짠,37.5016305,127.0350986,분식,0,0,1
성수동2가,"서울특별시 강남구 언주로30길 13 (도곡동,대림아크로상가지하10호)",빨봉분식&브라운돈까스,37.4882257,127.0511303,분식,1,2,0
자양동,"서울특별시 강남구 영동대로 513, 지하1층 H113호 (삼성동, 코엑스몰)",김가네,37.5116621,127.0594275,분식,4.5,2,0
개포동,"서울특별시 강남구 언주로164길 29 (신사동,지상1층)",피자노베,37.5256968,127.0360396,분식,5,4,1
역삼동,"서울특별시 강남구 언주로 564 (역삼동,A동 지상2층,지상3층,지상4층)",애플가든 주식회사,37.5083033,127.0399368,분식,0,0,0
논현동,"서울특별시 강남구 선릉로93길 22 (역삼동,대흥빌딩지상2층)",굴뚝,37.504995,127.0467695,분식,3.3,3,7
명륜4가,"서울특별시 강남구 도산대로4길 9 (논현동,지상1층)",헤이커피,37.5158427,127.0212954,분식,4.3,19,148
불광동,"서울특별시 강남구 도산대로49길 34, 지하1층 (신사동)",불광 생선구이,37.5251505,127.0371998,분식,3,2,1
잠원동,"서울특별시 강남구 삼성로 571, 경산빌딩 지하1층 3호 (삼성동)",명동 분식,37.5123525,127.05323,분식,0,0,0
구의동,"서울특별시 강남구 언주로114길 23, 지하1층 (논현동)",신쵸쭈꾸미,37.5104452,127.0394409,분식,4.8,4,12
용두동,"서울특별시 강남구 테헤란로4길 25, 지하1층 (역삼동)",킹스김밥,37.4968431,127.030395,분식,4,1,0
마곡동,"서울특별시 강남구 논현로151길 17, 지상2층 202호 (신사동)",꿀팟보드카페,37.5199796,127.0268489,분식,4,5,37
수서동,"서울특별시 강남구 테헤란로 406 (대치동, 지하1층 118호)",김가네김밥 수서역점,37.5043884,127.0499893,분식,1.2,6,3
대치동,"서울특별시 강남구 언주로170길 23, 지상1층 (신사동)",889식당,37.526853,127.0356047,분식,4.3,223,309
쌍문동,"서울특별시 강남구 테헤란로27길 22 (역삼동,지상1층)",행운정,37.5029066,127.0377495,분식,5,1,0
자양동,서울특별시 강남구 언주로115길 7 (논현동),이모네김밥,37.5101187,127.036126,분식,3,4,3
암사동,"서울특별시 강남구 테헤란로87길 46, 지하2층 (삼성동)",궤도에오르다 암사점,37.5109522,127.0581852,분식,0,0,1
초동,"서울특별시 강남구 광평로56길 11 (수서동,수서아파트상가103호)",해와달,37.4875007,127.1051644,분식,0,0,1
삼선동5가,"서울특별시 강남구 삼성로146길 4 (청담동,지상1층)",한식분식하네,37.5227741,127.0485596,분식,0,0,0
흑석동,"서울특별시 강남구 학동로 411 (청담동, 삼성21-4에서2000.5.10장소이전))",모모치,37.5181016,127.044728,분식,4.1,21,6
명륜4가,"서울특별시 강남구 남부순환로 2927, 지하1층 B120호 (대치동, 대치클래시아)",딱지치기,37.4936881,127.0603918,분식,4.4,9,0
