소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
서초동,"서울특별시 강동구 구천면로 428 (명일동,2층 201호)",더 파우치,37.550162,127.1461669,양식,4.7,3,4
연남동,"서울특별시 강동구 구천면로34길 2, 1층 (천호동)",혜드림,37.5423459,127.1313892,양식,4.8,36,51
성수동2가,"서울특별시 강동구 구천면로41길 13, 1층 (천호동)",문츠바베큐,37.5464291,127.1331904,양식,3.9,10,30
봉천동,"서울특별시 강동구 구천면로24길 20-9, 1층 (천호동)",쿡스나인,37.5398308,127.1254797,양식,3,1,3
연남동,"서울특별시 강동구 구천면로24길 20-23, 1층 (천호동)",서양면옥,37.539942,127.1254065,양식,0,0,21
봉천동,"서울특별시 강동구 구천면로24길 20-7, 1층 (천호동)",황홀경,37.5398844,127.1255369,양식,3.4,52,305
홍제동,"서울특별시 강동구 구천면로41길 14 (천호동,(1층))",서오릉피자 홍제점,37.5466805,127.1332912,양식,2,2,3
번동,"서울특별시 강동구 구천면로33길 11, 1층 (천호동)",피자헛 번동점,37.542359,127.1303691,양식,5,1,1
논현동,"서울특별시 강동구 구천면로 456 (명일동,지층)",리한 우낀집,37.5491249,127.1488512,양식,0,0,15
시흥동,"서울특별시 강동구 구천면로15길 32, 1층 (천호동)",별미,37.5431274,127.1234822,양식,4.5,4,8
합정동,"서울특별시 강동구 구천면로 428 (명일동, 122호)",빕스 합정역점,37.550162,127.1461669,양식,2.5,28,53
구로동,"서울특별시 강동구 구천면로34길 36, 1층 (천호동)",맘스터치,37.5423555,127.1332597,양식,1.5,28,22
행당동,서울특별시 강동구 구천면로100길 10 (상일동),투썸플레이스 왕십리역점,37.5503791,127.1715264,양식,1.8,9,11
성산동,"서울특별시 강동구 구천면로34길 55, 1층 (천호동)",플랫폼,37.5426452,127.1342417,양식,4.8,5,4
대치동,"서울특별시 강동구 구천면로24길 26, 1~2층 (천호동)",롤링파스타 대치점,37.5396291,127.1257212,양식,3,12,9
서초동,"서울특별시 강동구 구천면로100길 6, 1층 (상일동)",자니로켓 강남역 삼성타운점,37.5504969,127.1715042,양식,2.7,6,20
사당동,서울특별시 강동구 구천면로24길 24 (천호동),커스이수점,37.5397229,127.1258273,양식,3,7,18
성수동2가,"서울특별시 강동구 구천면로100길 13, 1층 (상일동)",치카치카 ,37.5502183,127.1717879,양식,4.2,18,117
을지로6가,"서울특별시 강동구 구천면로 434, 107호 (명일동)",서가앤쿡,37.5498798,127.1465934,양식,2.6,53,44
성내동,"서울특별시 강동구 구천면로33길 30, 1층 (천호동)",연어로만,37.5426575,127.1294004,양식,5,1,3
