지번주소,도로명주소,사업장명,위도,경도,kakao_star,kakao_star_nums,kakao_blog_review
신천동,서울특별시 송파구 올림픽로 300 엔터테인먼트동 5~11층 (신천동 롯데월드몰),롯데시네마 월드타워,37.5125702,127.1025625,3.8,49,314
상계동,서울특별시 노원구 동일로 1414 (상계동),롯데시네마 노원,37.6551095,127.0611155,1.8,25,25
성산동,서울특별시 마포구 월드컵로 240 (성산동월드컵쇼핑몰내 1층),메가박스중앙,37.5682553,126.8972733,0,0,0
가산동,서울특별시 금천구 디지털로10길 9 현대시티아울렛 가산점 (가산동),롯데시네마 가산디지털,37.4775997,126.8891282,3.6,11,20
동교동,서울특별시 마포구 양화로 147 아일렉스 7층 (동교동),메가박스중앙,37.556049,126.9220541,0,0,0
상계동,서울특별시 노원구 동일로 1414 (상계동),롯데시네마 노원,37.6551095,127.0611155,1.8,25,25
상계동,서울특별시 노원구 동일로 1414 (상계동),롯데시네마 노원,37.6551095,127.0611155,1.8,25,25
역삼동,서울특별시 강남구 강남대로 422 (역삼동),메가박스 씨티,37.500395,127.0268811,3.6,12,18
성산동,서울특별시 마포구 월드컵로 240 (성산동월드컵쇼핑몰내 1층),메가박스중앙,37.5682553,126.8972733,0,0,0
가산동,서울특별시 금천구 디지털로10길 9 현대시티아울렛 가산점 (가산동),롯데시네마 가산디지털,37.4775997,126.8891282,3.6,11,20
방화동,서울특별시 강서구 하늘길 38 (방화동 스카이파크),롯데시네마 김포공항 ,37.5713698,126.8029604,2.8,53,52
성산동,서울특별시 마포구 월드컵로 240 (성산동월드컵쇼핑몰내 1층),메가박스중앙,37.5682553,126.8972733,0,0,0
신천동,서울특별시 송파구 올림픽로 300 엔터테인먼트동 5~11층 (신천동 롯데월드몰),롯데시네마 월드타워,37.5125702,127.1025625,3.8,49,314
필동2가,서울특별시 중구 퇴계로 212 (필동2가),대한극장,37.5610797,126.9953587,3,44,36
신천동,서울특별시 송파구 올림픽로 300 엔터테인먼트동 5~11층 (신천동 롯데월드몰),롯데시네마 월드타워,37.5125702,127.1025625,3.8,49,314
상계동,서울특별시 노원구 동일로 1414 (상계동),롯데시네마 노원,37.6551095,127.0611155,1.8,25,25
충무로4가,서울특별시 중구 퇴계로 212 (충무로4가),대한극장,37.5610797,126.9953587,3,44,36
신천동,서울특별시 송파구 올림픽로 300 엔터테인먼트동 5~11층 (신천동 롯데월드몰),롯데시네마 월드타워,37.5125702,127.1025625,3.8,49,314
상계동,서울특별시 노원구 동일로 1414 (상계동),롯데시네마 노원,37.6551095,127.0611155,1.8,25,25
신천동,서울특별시 송파구 올림픽로 300 엔터테인먼트동 5~11층 (신천동 롯데월드몰),롯데시네마 월드타워,37.5125702,127.1025625,3.8,49,314
신천동,서울특별시 송파구 올림픽로 300 엔터테인먼트동 5~11층 (신천동 롯데월드몰),롯데시네마 월드타워,37.5125702,127.1025625,3.8,49,314
낙원동,서울특별시 종로구 삼일대로 428 4층 (낙원동),낭만극장,37.5727653,126.9879193,4.8,4,3
충정로1가,서울특별시 중구 새문안로 22 (충정로1가 문화일보),청춘극장,37.5670972,126.968627,4.5,4,3
동교동,서울특별시 마포구 양화로 147 아일렉스 7층 (동교동),메가박스중앙,37.556049,126.9220541,0,0,0
방화동,서울특별시 강서구 하늘길 38 (방화동 스카이파크),롯데시네마 김포공항 ,37.5713698,126.8029604,2.8,53,52
자양동,서울특별시 광진구 아차산로 272 더샵스타시티 (자양동),롯데시네마 건대입구관 ,37.5385583,127.0729962,3.7,36,63
가산동,서울특별시 금천구 디지털로10길 9 현대시티아울렛 가산점 (가산동),롯데시네마 가산디지털,37.4775997,126.8891282,3.6,11,20
