소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
한남동,서울특별시 강동구 명일로 375 (명일동),아운,37.5520157,127.1494682,"인도,태국",3.8,12,8
무악동,서울특별시 강동구 성내로6길 32 (성내동),까사델마르,37.528595,127.1222184,"인도,태국",4,2,0
문정동,"서울특별시 강동구 양재대로 1459, 대진빌딩 1층 (길동)",잇탈리아,37.536162,127.1390863,"인도,태국",0,0,0
한남동,서울특별시 강동구 상암로 105 (암사동),스테이지비,37.5472923,127.134512,"인도,태국",3.9,14,34
인사동,서울특별시 강동구 명일로13길 17 (둔촌동),하노이의 아침,37.5337545,127.143877,"인도,태국",2.4,23,22
당산동1가,서울특별시 강동구 암사길 37 (암사동),하노이별,37.5519105,127.1336173,"인도,태국",5,8,4
논현동,"서울특별시 강동구 암사길 54, 1층 (암사동)",대독장& 제주생선구이 올래밥상 강남구청역점,37.5518264,127.1353428,"인도,태국",0,0,0
금호동1가,"서울특별시 강동구 성안로3길 68-9, 1층 (성내동)",라쿵푸마라탕 금호점,37.5274458,127.1264091,"인도,태국",5,4,7
방화동,"서울특별시 강동구 성내로 14 (성내동,(1층,2층))",화이트로빈,37.5300671,127.1221223,"인도,태국",0,0,0
방배동,서울특별시 강동구 동남로73길 9 (명일동),용범양대창,37.5525337,127.1555833,"인도,태국",0,0,7
서교동,"서울특별시 강동구 양재대로 1367, 5,107호 (성내동)",레트로켄터키,37.5283148,127.1359485,"인도,태국",4,4,11
방배동,서울특별시 강동구 상암로 16 (암사동),깔리,37.5508192,127.1255146,"인도,태국",4.3,27,78
공덕동,"서울특별시 강동구 성내로6길 14-20, 101호 (성내동)",돈까스 브로스,37.5298862,127.1219449,"인도,태국",5,10,23
신천동,서울특별시 강동구 성안로3길 112 (성내동),촙촙,37.5280526,127.1240372,"인도,태국",4.8,4,1
효창동,"서울특별시 강동구 성안로 158 (길동,(1층))",빅스타피자공덕효창점,37.5370708,127.1355343,"인도,태국",5,2,2
여의도동,"서울특별시 강동구 구천면로98길 31, 1층 (상일동)",남기분면,37.5493946,127.1715157,"인도,태국",2.2,17,18
한남동,"서울특별시 강동구 양재대로 1564, 1층 101호 (명일동)",세스타,37.5450987,127.1430656,"인도,태국",0,0,0
