소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
한강로1가,"서울특별시 강북구 삼양로173길 102, 1층 (우이동)",카키바움,37.6613055,127.0072933,일식,3.8,21,82
신림동,"서울특별시 강동구 천호대로158길 19, 1층 (성내동)",스시현,37.5365557,127.1263916,일식,4.3,19,7
가산동,"서울특별시 관악구 관악로 134, 2층 (봉천동)",아라참치,37.4772463,126.9527241,일식,4,2,11
충정로3가,"서울특별시 강동구 양재대로115길 22, 오륜빌딩 101호 (길동)",마티아,37.539127,127.1391841,일식,2,1,1
신문로2가,"서울특별시 강북구 노해로8길 22, 1층 117호 (수유동)",이태리,37.6380002,127.0242528,일식,0,0,0
사당동,"서울특별시 강서구 화곡로60길 37, 1층 (화곡동)",아비꼬 이수점,37.5532407,126.8534161,일식,2.2,20,10
중곡동,"서울특별시 강서구 화곡로68길 132, 1층 (등촌동, 1동)",별스시,37.5564719,126.8608623,일식,3.7,11,9
영등포동3가,서울특별시 강북구 노해로3길 59 (수유동),전주전집,37.6353239,127.0198391,일식,2.8,18,36
한남동,"서울특별시 강북구 한천로132길 48 (번동,(마차길 38)(지상1층))",매덕스피자,37.6408444,127.0300143,일식,3.8,103,280
청진동,"서울특별시 강북구 노해로23길 76, 1층 (수유동)",청진낙지,37.6462261,127.0196475,일식,2.9,166,123
신사동,"서울특별시 관악구 남부순환로 1465, 1층 (신림동)",완소,37.4819506,126.9135038,일식,4,13,2
흑석동,"서울특별시 강서구 양천로 344, 지하 1층 103-1~2호 (마곡동, 가양 1동 마곡센트럴대방디엠시티오피스텔)",16.8·,37.568266,126.8403595,일식,0,0,0
역삼동,서울특별시 관악구 신림로65길 19 (신림동),강남7080라이브카페,37.4849698,126.928458,일식,0,0,0
여의도동,서울특별시 강북구 도봉로8길 17 (미아동),유메,37.6127124,127.0311904,일식,3.8,8,7
서교동,"서울특별시 관악구 조원중앙로2길 116, 1층 (신림동)",메가커피홍대점,37.4818188,126.9112143,일식,2.8,12,8
대림동,"서울특별시 강북구 한천로 1042, 2층 (수유동)",진참치,37.6404666,127.0265316,일식,4.5,2,0
화곡동,"서울특별시 관악구 관악로 1, 서울대학교 유회진학술정보관 300동 2층 (신림동)",발리,37.464007,126.9522394,일식,0,0,0
대치동,"서울특별시 강서구 송정로 18-22, 1층 (공항동)",메밀연가,37.5570934,126.8132521,일식,3.7,15,10
신문로2가,서울특별시 강북구 도봉로8길 61 (미아동),아미고그룹,37.6114039,127.0331294,일식,0,0,0
염리동,"서울특별시 관악구 신림로15길 45 (신림동, 지상1층)",브라운돈까스 마포역점,37.4682562,126.9371513,일식,4.5,2,0
명륜2가,서울특별시 강서구 가로공원로76길 95 (화곡동),기꾸스시,37.5330821,126.8390875,일식,3.4,31,49
인의동,서울특별시 강서구 곰달래로 223 (화곡동),뚝섬이야기,37.5318187,126.8577833,일식,0,0,0
역삼동,"서울특별시 관악구 신림동길 32, 1층 (신림동)",디에이치와이,37.4870424,126.9253108,일식,0,0,0
마곡동,"서울특별시 강동구 양재대로141길 28, 1층 (명일동)",신경섭의 인생참치,37.5513188,127.1423994,일식,5,11,47
예지동,"서울특별시 강북구 인수봉로56길 36, 1층 (수유동)",은성회집,37.6362172,127.0148428,일식,3.4,57,126
방학동,"서울특별시 강서구 마곡서로 175, 지하 1층 105호 (마곡동, 마곡엠밸리4단지)",돌우물 도봉,37.5695949,126.8244771,일식,0,0,0
통의동,"서울특별시 강북구 한천로 1074, 1층 (수유동)",박광일 참치,37.6424546,127.0238423,일식,3.4,28,4
독산동,서울특별시 관악구 남부순환로 1850 (봉천동),구구함박,37.4799913,126.9552963,일식,5,5,18
용두동,"서울특별시 관악구 호암로24길 65, 지하1층 (신림동)",만나네 마라탕,37.469436,126.9368438,일식,5,5,4
화곡동,"서울특별시 광진구 군자로 168 (군자동,1층)",전성원 스시,37.5557872,127.0775099,일식,5,1,0
신림동,"서울특별시 관악구 관악로24길 14, 호삼빌딩 지하1층 2호 (봉천동)",한돌참치,37.4838481,126.955546,일식,4.4,7,10
봉천동,"서울특별시 관악구 봉천로 497, 지상1층 (봉천동)",킷사서울,37.4813507,126.9552739,일식,2.7,62,492
문정동,"서울특별시 강북구 오패산로52길 52 (미아동,(율곡마을길 32))",청담초밥 문정점,37.6251353,127.0324978,일식,2.5,20,80
중곡동,"서울특별시 강서구 화곡로 187 (화곡동,(지상 1층))",메카참치,37.5426541,126.8419983,일식,1,3,3
서교동,"서울특별시 관악구 행운1길 56, 지하1층 (봉천동)",알라또레,37.4811958,126.9569758,일식,3.2,25,27
신사동,"서울특별시 강서구 화곡로 123, 1층 (화곡동, 3동)",로만테이,37.5405518,126.8356352,일식,3.6,19,36
신천동,서울특별시 강북구 도봉로65길 9 (미아동),빅가이즈 랍스타 롯데월드몰점,37.6297578,127.0241394,일식,3.8,8,36
대치동,"서울특별시 관악구 남부순환로 1434 (신림동,지상6층)",스시유,37.4806892,126.9100703,일식,2.9,38,20
서초동,"서울특별시 강동구 올림픽로72길 13 (천호동,5)",회나루,37.5397565,127.124685,일식,4.7,3,12
신림동,서울특별시 관악구 남현1길 19 (남현동),피아,37.4759702,126.9785808,일식,0,0,0
익선동,서울특별시 강북구 도봉로87길 26 (수유동),잡방,37.6388368,127.0244967,일식,3.8,19,289
면목동,"서울특별시 강서구 강서로5길 4, 1층 (화곡동, 1동)",빛나는 바다,37.5292507,126.8478003,일식,1.8,4,7
신정동,"서울특별시 관악구 미성길 22, 1층 (신림동)",광수사,37.4746984,126.9159712,일식,4.3,10,4
신길동,"서울특별시 강북구 한천로 1168 (수유동,지하1층)",주문식포차,37.6480197,127.0159238,일식,5,1,0
내발산동,"서울특별시 강서구 월정로 148-2, 1층 (화곡동, 1동)",전명주스시,37.5322998,126.8371642,일식,4.7,9,5
무학동,서울특별시 강동구 올림픽로 795 (암사동),창신동 숯불소곱창,37.5522079,127.1279426,일식,5,1,0
한강로1가,"서울특별시 관악구 신림로 270, 2층 (신림동)",가타부타,37.4790045,126.9321807,일식,0,0,0
송파동,"서울특별시 광진구 군자로 41, 2층 (화양동)",페이브 테이블,37.5469489,127.0701114,일식,5,3,5
연남동,"서울특별시 관악구 호암로22길 2, 1층 (신림동)",모모,37.4690426,126.9328234,일식,2.9,17,48
서교동,"서울특별시 관악구 인헌길 15, 1층 (봉천동)",예티,37.4748835,126.9670946,일식,4.1,61,63
서초동,"서울특별시 광진구 광나루로56길 34, 구의현대2단지 지층 14호 (구의동)",송학횟집,37.5381387,127.0966512,일식,4.5,2,1
도화동,"서울특별시 관악구 조원로16길 37, 1층 (신림동)",스시와초밥전문점,37.4825282,126.9113724,일식,5,2,0
미아동,"서울특별시 강서구 까치산로27길 22, 1층 (화곡동, 6동)",피자애 삼각산점,37.5520653,126.8515362,일식,0,0,1
용산동2가,"서울특별시 강서구 강서로56가길 47, 2층 (등촌동, 3동)",자코비스버거,37.5617128,126.8401126,일식,3.6,193,253
논현동,"서울특별시 강서구 공항대로7길 8, 연흥빌딩 1층 (공항동)",포크포크,37.5617434,126.8125031,일식,4,4,13
중곡동,서울특별시 강서구 화곡로58길 30 (화곡동),미친생고기,37.5526958,126.8524572,일식,2.6,13,27
관철동,"서울특별시 강북구 삼양로54길 13 (미아동,(큰마을길 142)(지상1층))",유도리야,37.6245345,127.0192906,일식,2.3,9,14
흑석동,"서울특별시 관악구 난곡로26길 19, 1층 (신림동)",커리야curry-ya,37.4704785,126.9211056,일식,3.7,15,13
서교동,"서울특별시 관악구 장군봉1길 45, 1층 (봉천동)",파쿠모리,37.4817434,126.9426057,일식,3.1,15,33
북가좌동,"서울특별시 강북구 도봉로77길 18 (수유동,(옛길 10))",명당횟집,37.6337101,127.0223062,일식,4.3,7,2
응암동,"서울특별시 강동구 천호옛길 14, 101호 (성내동)",황제돈까스,37.5307182,127.1214464,일식,3,5,2
봉천동,서울특별시 광진구 구의로 61-1 (구의동),내 사랑을 먹어주세요,37.5435115,127.0902601,일식,4.7,3,8
신사동,"서울특별시 강서구 양천로60길 60, 1층 (등촌동, 1동)",아마빌레,37.5563102,126.8577145,일식,0,0,1
오금동,"서울특별시 강북구 솔샘로 264 (미아동,(솔샘길 73))",비스트로 베네토,37.6190805,127.0216602,일식,4.4,40,43
여의도동,"서울특별시 강북구 도봉로98길 56 (번동,(지상1층))",육회관여의도점,37.6408891,127.0327336,일식,0,0,7
역삼동,"서울특별시 강서구 양천로 401, B동 1층 116호 (가양동, 1동 강서한강자이타워)",데블다이스,37.5656521,126.8476921,일식,3.4,24,39
청담동,"서울특별시 강서구 마곡중앙6로 21, 이너매스 마곡 4층 401~424호 (마곡동)",나무,37.5608356,126.8296186,일식,0,0,0
쌍문동,"서울특별시 관악구 남부순환로272길 15, 1층 (남현동)",2nd meal,37.4758089,126.9784812,일식,5,2,0
논현동,"서울특별시 강서구 송정로 61, 2층 (공항동)",맥주창고플러스,37.5602682,126.8098657,일식,0,0,4
삼성동,"서울특별시 강서구 화곡로 129, 1층 (화곡동, 3동)",맥심,37.5407428,126.8361207,일식,5,2,0
공릉동,"서울특별시 강서구 양천로 694-5, 1층 (염창동)",어부횟집,37.5498824,126.8729583,일식,4.7,3,9
양재동,서울특별시 강서구 공항대로3길 7 (공항동),페페,37.5619547,126.8099412,일식,4,1,7
돈암동,"서울특별시 관악구 대학14길 10, 1층 (신림동)",89번가돈암점,37.4663276,126.9371991,일식,0,0,8
논현동,"서울특별시 강서구 마곡중앙6로 45, 리더스퀘어마곡 2층 208호 (마곡동)",일일향 논현점,37.5606312,126.8327206,일식,3.6,42,71
화곡동,"서울특별시 강서구 화곡로58길 18, 4층 (화곡동, 6동)",착한피자,37.5527941,126.8518558,일식,0,0,1
목동,"서울특별시 강동구 올림픽로 664, 지1층 17호 (천호동, 대우 한강 베네시티)",진도세꼬시,37.5405554,127.1249758,일식,5,1,0
반포동,"서울특별시 강북구 한천로144길 23-18 (수유동,지상1층)",화담,37.6426502,127.025462,일식,3.8,4,18
한남동,서울특별시 강북구 도봉로10나길 9 (미아동),브랜든체이스,37.6136785,127.0310965,일식,0,0,0
당산동1가,"서울특별시 강서구 강서로33길 32, 1층 (화곡동, 3동)",더핸드,37.5417214,126.8380353,일식,3.6,10,82
논현동,"서울특별시 관악구 남부순환로231길 16, 1층 (봉천동)",와썹,37.4802399,126.957156,일식,0,0,0
장안동,"서울특별시 관악구 난곡로65길 9, 1층 (신림동)",기소야,37.4822029,126.9136796,일식,0,0,1
상계동,"서울특별시 강서구 양천로 28, 벽산에어트리움 1층 119호 (방화동)",일차돌,37.5722167,126.8067625,일식,3,6,77
목동,"서울특별시 강서구 가로공원로76길 101, 1층 (화곡동, 1동)",닐리,37.5327305,126.8393017,일식,4,3,38
