소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
통의동,서울특별시 광진구 자양로18길 14 (구의동),슬로우레시피,37.5374909,127.084302,중식,3.5,28,55
방배동,"서울특별시 구로구 고척로 96 (개봉동,원우빌딩 1층)",성민양꼬치,37.5008403,126.8449578,중식,3.7,24,30
신길동,"서울특별시 구로구 새말로 102, 신도림포스빌 지층 120호 (구로동)",자매양꼬치,37.5057801,126.8914054,중식,0,0,0
신설동,서울특별시 구로구 구로동로 100 (구로동),대성각,37.4876121,126.8851386,중식,2.7,3,1
구로동,"서울특별시 구로구 디지털로31길 41, 211호 (구로동, 이앤씨벤처드림타워6차)",도향촌,37.4851724,126.8927217,중식,0,0,0
역삼동,"서울특별시 구로구 구로동로28길 90, 1층 (구로동)",돈앤돈까스,37.4915116,126.8889233,중식,5,9,2
한남동,"서울특별시 광진구 자양로13길 61, 1층 (자양동)",진미반점,37.5337414,127.0814342,중식,3.9,12,0
연희동,"서울특별시 광진구 자양번영로6길 43, 1층 (자양동)",파티,37.5319834,127.0779107,중식,1,1,2
여의도동,"서울특별시 광진구 자양로 278, 1층 103호 (구의동)",금화쿵푸,37.5506258,127.0914575,중식,3.7,10,3
대림동,서울특별시 광진구 천호대로129길 22 (구의동),샹그릴라,37.552677,127.0908539,중식,0,0,0
보광동,"서울특별시 광진구 천호대로 629, 대영빌딩 1층 (중곡동)",한일각,37.5543932,127.0875705,중식,1.5,2,0
독산동,"서울특별시 구로구 디지털로 288 (구로동,대륭포스트타워 1차 214호)",중한길상반점,37.4837318,126.8953657,중식,0,0,0
대림동,"서울특별시 구로구 경인로25길 16, 1층 (오류동)",아향부,37.4971481,126.8442132,중식,3.5,6,32
가리봉동,서울특별시 구로구 디지털로32길 97-31 (구로동),춘화할인식당,37.4839582,126.9010168,중식,5,2,0
대림동,서울특별시 광진구 천호대로129길 22 (구의동),샹그릴라,37.552677,127.0908539,중식,0,0,0
등촌동,"서울특별시 구로구 부일로7길 3, 숲예찬 1층 (103)호 (온수동)",마라하오 강서점,37.4931177,126.8245998,중식,0,0,0
후암동,서울특별시 광진구 자양번영로 23 (자양동),마부마라탕마라샹궈,37.5317135,127.0750392,중식,4,6,15
