소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
관악구,"서울특별시 동대문구 장한로6길 10, 1층 (장안동)",천하일미,37.5635362,127.0667544,치킨,1,2,0
방학동,"서울특별시 동대문구 망우로18가길 37, 1층 (휘경동)",좋은세상,37.5885453,127.0609776,치킨,0,0,0
역삼동,"서울특별시 노원구 한글비석로 127, 한신스포츠 2층 (하계동)",뉴욕,37.6394711,127.0755428,치킨,0,0,0
중곡동,"서울특별시 동대문구 왕산로 214, 청량리역,롯데백화점 7층 (전농동)",감로호프,37.5841971,127.051139,치킨,0,0,0
당산동3가,"서울특별시 금천구 벚꽃로38길 43, 지상1층 (가산동)",손큰원조할매순대국,37.4830347,126.8847377,치킨,4.6,9,2
천호동,"서울특별시 동대문구 무학로 114, 1층 (용두동)",노랑통닭,37.5743789,127.0308808,치킨,3,13,24
도봉구,"서울특별시 동대문구 제기로 12-1 (제기동,(제기로 14))",청학동,37.5863234,127.0343726,치킨,0,0,0
목동,"서울특별시 금천구 가산로 132, 지상2층 (가산동)",멕시칸치킨,37.477266,126.8920458,치킨,1,1,0
성북구,"서울특별시 금천구 금하로 665, 지상2층 (시흥동)",오비하우스,37.4533279,126.9046194,치킨,0,0,0
용산구,"서울특별시 금천구 두산로 70, 티-121-1호 (독산동, 현대지식산업센터)",치킨플러스,37.4689627,126.8956207,치킨,5,2,1
화곡동,"서울특별시 동대문구 왕산로 52 (용두동,(왕산로190))",케그비어,37.5771497,127.0293487,치킨,5,1,5
중랑구,"서울특별시 노원구 노해로 509 (상계동,(2층))",오춘자비어 사가정역점,37.6554113,127.0645555,치킨,0,0,2
영등포구,"서울특별시 금천구 디지털로 185, 마리오아울렛1 지상5층 (가산동)",컬쳐커피,37.4781347,126.8871194,치킨,4.5,6,4
강서구,서울특별시 동작구 만양로 110 (노량진동),블루진,37.5131919,126.9444467,치킨,0,0,0
구의동,"서울특별시 동작구 동작대로29가길 15, 1층 (사당동)",60계구의광장점,37.4886871,126.9813481,치킨,4.3,4,7
노원구,서울특별시 동대문구 경희대로6길 5 (회기동),누나홀닭수락산역점,37.5933834,127.0531536,치킨,3.3,4,2
화곡동,"서울특별시 동작구 노들로 674, 지상2층 5호 (노량진동)",굽네치킨 화곡1동점,37.5148693,126.9368431,치킨,1.5,2,6
구로동,"서울특별시 도봉구 도봉로125길 35, 1층 (쌍문동)",하우스일칠공,37.6541615,127.0368444,치킨,0,0,0
화양동,"서울특별시 도봉구 도봉로114길 34 (창동,지상1층)",쥬쥬치킨,37.647434,127.0362034,치킨,4.4,5,0
잠원동,"서울특별시 금천구 벚꽃로24길 25 (가산동,(백년길 73-6))",LA포차,37.4740862,126.8874888,치킨,0,0,0
용산구,"서울특별시 노원구 석계로3길 27, 1층 (월계동)",필,37.6161284,127.0632154,치킨,0,0,0
은평구,"서울특별시 금천구 독산로39길 56, 1층 일부호 (시흥동)",치킨뱅이,37.4574713,126.9029605,치킨,3.3,6,3
서대문구,서울특별시 노원구 동일로180길 53 (공릉동),세렌디피티,37.6228662,127.0771806,치킨,5,12,72
성동구,"서울특별시 금천구 범안로 1192, 지상1층 (독산동)",OB광장,37.4663891,126.89421,치킨,0,0,0
송파구,"서울특별시 금천구 범안로 1249 (독산동,지상1층)",우리동네 포차,37.4666395,126.9008634,치킨,0,0,2
도림동,서울특별시 노원구 덕릉로 787 (상계동),참숯대박갈비,37.667484,127.0787302,치킨,1,4,4
자양동,"서울특별시 동대문구 장한로 106 (장안동,지상2층)",바른치킨,37.5698156,127.0705006,치킨,4.5,8,3
강북구,"서울특별시 도봉구 노해로65길 18, 1층 (창동)",G2,37.6521871,127.0464814,치킨,0,0,0
