지번주소,도로명주소,사업장명,위도,경도,kakao_star,kakao_star_nums,kakao_blog_review
가산동,서울특별시 금천구 가산디지털1로 181 가산 더블유센터 1층 115일부호 (가산동),와플산도,37.481425,126.8803936,4.8,5,16
성산동,서울특별시 마포구 성산로6길 29 일부 지층 (성산동),디싸이시브모먼트,37.5635538,126.9108669,5,2,14
마곡동,서울특별시 강서구 공항대로 260 이화의대부속서울병원 지하1층 (마곡동),앤티앤스,37.5572629,126.8362668,3.5,2,0
천호동,서울특별시 강동구 천호대로 1073 힐탑프라자 1층 14호 (천호동),유어페이보릿,37.5366086,127.1312324,5,1,10
제기동,서울특별시 동대문구 고산자로36길 3 경동시장 신관 2층 60103호 (제기동),카페숲,37.5790378,127.0391429,0,0,2
여의도동,서울특별시 영등포구 의사당대로 83 오투타워 지하1층 (여의도동),홍콩다방오투테라스점,37.5233663,126.9234407,4,1,16
한남동,서울특별시 용산구 이태원로42길 36 지상1층 (한남동),510파인애비뉴,37.5361574,127.0005801,0,0,0
북가좌동,서울특별시 서대문구 거북골로 158 1층 (북가좌동),만나커피,37.5758972,126.9124567,0,0,0
고척동,서울특별시 구로구 중앙로 26 (고척동),실로커피로스터스,37.500409,126.8641085,0,0,1
장안동,서울특별시 동대문구 장안벚꽃로 167 주상가동 1층 124호 (장안동 래미안2차 ),플루토,37.574395,127.0751518,0,0,0
신대방동,서울특별시 동작구 국사봉2다길 17 202호 (신대방동),셀렉토커피 신대방삼거리역점,37.4976437,126.9295398,5,4,3
상암동,서울특별시 마포구 월드컵북로 375 (상암동DMC 이안상암1단지 1층 107호),이디아,37.5775718,126.8906892,3.5,6,0
서교동,서울특별시 마포구 어울마당로 100-8 3층 (서교동),오늘은,37.5536513,126.9226002,3.8,24,34
신월동,서울특별시 양천구 남부순환로59길 16 1층 (신월동),로커피,37.5323616,126.8328733,5,2,1
영등포동6가,서울특별시 영등포구 영등포로 193 지하1층 지상1층 (영등포동6가),투썸플레이스영등포시장사거리점,37.520535,126.9030897,4.3,8,4
남대문로5가,서울특별시 중구 한강대로 416 (남대문로5가 봉래동2가 128 지상1층),투썸플레이스 서울스퀘어점,37.5555057,126.9737678,2.3,18,9
신림동,서울특별시 관악구 신림로 134 1층 (신림동),저스트로맨틱,37.4716883,126.9348573,5,12,26
독산동,서울특별시 금천구 독산로 230-1 1층 (독산동),포트오브모카,37.467349,126.902064,0,0,0
한강로3가,서울특별시 용산구 한강대로23길 55 더센타 6층 PICK 6호 (한강로3가),앤티앤스프레즐,37.5297718,126.9647415,2.6,7,8
중곡동,서울특별시 광진구 용마산로 111 1층 (중곡동),이디야중곡대원점,37.5635966,127.0866632,3.3,3,1
상수동,서울특별시 마포구 독막로19길 20-15 (상수동 1층일부),아틀리에,37.5486863,126.9255836,0,0,0
행당동,서울특별시 성동구 마조로 29 1층 (행당동 3-30),쥬씨,37.5603733,127.0410334,3.8,11,1
용두동,서울특별시 동대문구 왕산로32길 48 1층 (용두동),동부다방,37.5770547,127.0414619,0,0,0
성내동,서울특별시 강동구 성내로14길 27 (성내동),피에로 커피,37.5266225,127.126643,4.1,22,26
신길동,서울특별시 영등포구 도림로 326 2층 (신길동),이디야 도림사거리,37.5065913,126.9018301,3.3,4,1
숭인동,서울특별시 종로구 낙산길 258 1층 (숭인동),카페N258,37.5818848,127.0150076,4.6,7,1
원효로2가,서울특별시 용산구 새창로 132 1층 (원효로2가),빽다방,37.5357057,126.9612413,3.8,8,0
화곡동,서울특별시 강서구 등촌로 57 1~3층 (화곡동 4동 스타벅스화곡점),스타벅스 화곡DT점,37.5350126,126.863143,3.8,28,30
남가좌동,서울특별시 서대문구 거북골로 100 상가동 1호 (남가좌동 래미안루센티아),디저트39가재울뉴타운점,37.575726,126.9183539,5,3,4
마곡동,서울특별시 강서구 마곡중앙6로 66 퀸즈파크텐 1층 105~106호 (마곡동),이디야,37.5599153,126.8343608,4.7,3,8
창신동,서울특별시 종로구 창신길 87 1층 (창신동),Frank,37.5756125,127.0105322,3,2,0
당산동4가,서울특별시 영등포구 당산로 175 당산동 삼익플라주아파트 상가동 1층 104호 (당산동4가),매머드익스프레스,37.5302422,126.8982527,0,0,3
장안동,서울특별시 동대문구 답십리로63가길 2 1층 101호 (장안동 소담재),꽃한잔,37.5750535,127.0687741,5,1,0
군자동,서울특별시 광진구 군자로 167 (군자동(1층)),모닝에스프레소,37.555803,127.0771805,0,0,0
구의동,서울특별시 광진구 광나루로36길 68 1층 (구의동),수커피,37.5420388,127.0856386,1,1,0
장안동,서울특별시 동대문구 장한로28길 48 로얄상가 101호 (장안동),컴포즈커피 장안래미안점,37.5726647,127.0746037,0,0,0
미아동,서울특별시 강북구 월계로7길 63 1층 (미아동),커피베이,37.6129722,127.0339347,0,0,0
번동,서울특별시 강북구 오현로 145 강북문화정보도서관 1층 (번동),시속 0km,37.6251529,127.0360503,0,0,0
성내동,서울특별시 강동구 성내로 32 12층 (성내동),스타벅스 강동구청DT점,37.5291904,127.1238062,3.5,15,12
서교동,서울특별시 마포구 어울마당로 118 지층 (서교동),보드스쿨,37.5550476,126.9234468,2.6,5,5
묵동,서울특별시 중랑구 공릉로 59 1층 103호 (묵동),노란코끼리,37.6160215,127.0791194,0,0,2
신당동,서울특별시 중구 동호로 189 (신당동),약수,37.5548159,127.0102368,5,1,0
내발산동,서울특별시 강서구 강서로45라길 28 1층 (내발산동 1동),하늘꿈북까페,37.5490397,126.8341877,0,0,0
동숭동,서울특별시 종로구 대학로 86 (동숭동),카페 락앤락,37.5793538,127.0033287,3.8,6,2
망우동,서울특별시 중랑구 봉우재로64길 65 1층 (망우동),언니커피,37.5920623,127.0969818,3,2,1
화양동,서울특별시 광진구 아차산로 229 1층 101110호 (화양동),이디야건대역점,37.5408305,127.0690816,2.4,7,2
평창동,서울특별시 종로구 평창길 62 1층 (평창동),그라운드62,37.6083282,126.96323,3.7,16,8
가산동,서울특별시 금천구 가산로3길 54 지상1층 일부호 (가산동),캔다방 가산점,37.4724181,126.8925563,0,0,3
적선동,서울특별시 종로구 사직로 127 1~3층 (적선동),빽다방 경복궁역점,37.5760659,126.9730842,0,0,1
신림동,서울특별시 관악구 난향2길 8 1층 (신림동),CAFE216,37.4633347,126.9185431,4.3,3,1
전농동,서울특별시 동대문구 왕산로 214 (전농동지하2층 롯데백화점내),롯데푸드,37.5841971,127.051139,0,0,0
상계동,서울특별시 노원구 동일로 1689 1층 103호 (상계동 하이베라스),컴포즈커피 수락산역점,37.6791235,127.0549618,2.3,3,2
천호동,서울특별시 강동구 양재대로 1571 1층 (천호동 홈플러스강동점),쥬씨 굽은다리역점,37.5457146,127.1422553,5,1,2
마곡동,서울특별시 강서구 마곡동로 62 마곡사이언스타워 1~2층 101~103204호 (마곡동),스타벅스 마곡사이언스타워R점,37.5605538,126.8338901,3.2,19,62
상일동,서울특별시 강동구 상일로12길 54 1층 (상일동),동네카페,37.5548668,127.1742958,5,3,0
상암동,서울특별시 마포구 월드컵북로 396 (상암동),이디야커피전문점,37.5793419,126.889819,3.5,6,0
신당동,서울특별시 중구 다산로 147 (신당동),토마토,37.5569748,127.0116184,0,0,0
영등포동,서울특별시 영등포구 영신로19길 26-1 1층 (영등포동),메가엠지씨커피영등포역남부점,37.513677,126.9051497,4.3,3,3
장안동,서울특별시 동대문구 장한로26가길 92 1층 (장안동),와플샵,37.5679136,127.0697563,0,0,1
구로동,서울특별시 구로구 디지털로 306 대륭포스트타워2차 1층 104호 (구로동),카페또오늘 구로점,37.4859916,126.8977359,5,2,2
광장동,서울특별시 광진구 아차산로78길 75 지하1층 (광장동),레이디핑거,37.551602,127.111003,5,2,12
신림동,서울특별시 관악구 난곡로 90 2-3층 전체호 (신림동),더치앤빈,37.4634377,126.9191968,3.6,5,3
부암동,서울특별시 종로구 창의문로5길 10-1 (부암동지상1층),애프터 유,37.5919503,126.9637424,3.8,4,4
당산동4가,서울특별시 영등포구 당산로 161 (당산동4가 지상1층 일부),카페더초코,37.5290057,126.8977643,5,2,1
신수동,서울특별시 마포구 백범로 35 (신수동경영교육원(바오로경영관)),투썸플레이스,37.5517132,126.9410634,5,1,0
면목동,서울특별시 중랑구 중랑천로10길 12 1층 (면목동),아바커피,37.5916318,127.0738586,0,0,1
미아동,서울특별시 강북구 도봉로 62 롯데백화점 미아점 지하2층 (미아동),공차 롯데미아점,37.6146006,127.0305324,1,1,2
청파동2가,서울특별시 용산구 청파로47길 26 1층 (청파동2가),카페코지숙명여대점,37.5448908,126.9690208,4.2,5,27
원효로4가,서울특별시 용산구 원효로 55 (원효로4가),설,37.5335581,126.950483,3.9,7,1
신길동,서울특별시 영등포구 여의대방로 25 상가동 1층 102호 (신길동 보라매 경남아너스빌),스위디,37.495069,126.9103685,0,0,2
소격동,서울특별시 종로구 율곡로3길 87 아트선재센타 1층 (소격동),올모스트홈 카페 아트선재센터점,37.5794709,126.9818394,3,36,280
상계동,서울특별시 노원구 동일로 1356 상가동 1층 112호 (상계동 상계주공4단지아파트),메가엠지씨커피 상계백병원점,37.6504505,127.0634916,5,2,1
장안동,서울특별시 동대문구 답십리로 308 1층 (장안동),더벤티 장안점,37.5718586,127.0745493,0,0,0
영등포동4가,서울특별시 영등포구 영중로 15 (영등포동4가 타임스퀘어 지하2층),이탈리코,37.5172058,126.903714,0,0,0
신림동,서울특별시 관악구 호암로26가길 18 동일빌딩 1층 (신림동),카페씨엘,37.4701315,126.9336759,5,2,0
장안동,서울특별시 동대문구 장한로 140 1층 (장안동),빽다방,37.5728575,127.0721691,4,2,6
회기동,서울특별시 동대문구 회기로18길 3 1층 (회기동),마을활력소회기한지붕,37.5912076,127.05213,0,0,0
영등포동,서울특별시 영등포구 경인로 846 (영등포동 롯데백화점 지하1층),,37.515668,126.907666,0,0,0
상계동,서울특별시 노원구 상계로23길 57-8 가동 102호 (상계동),콰이트,37.6601109,127.0665679,4,4,1
방화동,서울특별시 강서구 양천로 28 벽산에어트리움 본관동 1층 126~127호 (방화동),투썸플레이스 개화산역점,37.5722167,126.8067625,3.3,6,1
제기동,서울특별시 동대문구 정릉천동로 102 2층 (제기동),카페피티,37.5814284,127.0360278,0,0,0
