소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
노원구,서울특별시 마포구 대흥로 116-4 (대흥동),피자스쿨 중계본동점,37.5498321,126.9440013,패스트푸드,5,1,0
구로구,서울특별시 마포구 독막로 308 (염리동),미스터피자 구로디지털단지역점,37.5436454,126.946895,패스트푸드,2.4,22,11
도봉구,"서울특별시 마포구 광성로 20 (신수동,1층)",피자스쿨도봉점,37.5498173,126.9352653,패스트푸드,0,0,2
강남구,"서울특별시 마포구 대흥로30길 20 (염리동, 1층일부)",토마토피자,37.5562748,126.9471879,패스트푸드,5,5,9
노원구,서울특별시 마포구 대흥로 172 (대흥동),빵파네,37.5542645,126.9457199,패스트푸드,0,0,0
양천구,"서울특별시 동작구 여의대방로24길 140, 1층 (신대방동)",피자헛,37.4989881,126.9278371,패스트푸드,2,2,3
강동구,"서울특별시 마포구 독막로 48, 지상1층 (합정동)",피자마루 성내점,37.5477473,126.9186765,패스트푸드,1.8,9,0
서초구,서울특별시 동작구 장승배기로 53 (상도동),벨라빈스,37.5023741,126.940032,패스트푸드,3.3,4,0
강동구,"서울특별시 마포구 독막로 54 (합정동,1층 일부)",한국피자헛강동3호점,37.5477236,126.9192286,패스트푸드,1,9,5
강남구,"서울특별시 마포구 도화4길 27 (도화동,1층)",나띵베러,37.5407477,126.9513123,패스트푸드,2.7,7,7
마포구,"서울특별시 마포구 독막로 96, 1층 (상수동)",라푸스코마포점,37.5475455,126.9240646,패스트푸드,4.3,16,2
성북구,서울특별시 동작구 장승배기로 164 (노량진동),한솥도시락 고대 원룸촌점,37.5123258,126.9404051,패스트푸드,3,8,0
강남구,"서울특별시 마포구 독막로 31-3 (합정동, 합정동K빌딩 2층일부)",카페앳코너,37.5485254,126.9169539,패스트푸드,5,1,2
강서구,"서울특별시 마포구 도화길 50-6, 1층 (도화동)",피자마루,37.5417757,126.9511853,패스트푸드,4,1,5
서대문구,서울특별시 동작구 장승배기로27길 13 (노량진동),스탠바이 키친,37.5117848,126.9392928,패스트푸드,4.6,44,71
강남구,서울특별시 마포구 고산길 12 (노고산동),커피 더주다,37.5533948,126.9379243,패스트푸드,4,1,0
강남구,"서울특별시 마포구 도화4길 33, 1층일부 (도화동)",마일스톤,37.5405193,126.9515852,패스트푸드,4.2,73,239
강동구,"서울특별시 마포구 도화4길 9, 1층 (도화동)",피자마루,37.5414302,126.9506834,패스트푸드,0,0,1
광진구,서울특별시 마포구 도화길 26 (도화동),피자힐,37.5404836,126.9489394,패스트푸드,3.9,340,313
도봉구,서울특별시 마포구 독막로 247-1 (대흥동),피자헛 쌍문2호점,37.5466004,126.9412792,패스트푸드,4.8,6,4
강남구,"서울특별시 동작구 흑석로 24-1, 2층 (상도동)",용호동낙지 강남점,37.5048673,126.9533779,패스트푸드,1.5,13,54
노원구,"서울특별시 마포구 굴레방로9길 44 (아현동, 1층일부)",봉구스밥버거,37.5567679,126.953162,패스트푸드,4,2,0
관악구,"서울특별시 마포구 독막로 151, 1층일부(우측) (창전동)",더젭스월드,37.5476847,126.9302808,패스트푸드,0,0,0
강남구,서울특별시 동작구 흑석로 115 (흑석동),폴바셋,37.508793,126.9614412,패스트푸드,3.5,30,10
강동구,서울특별시 마포구 독막로 288 (대흥동),맘스터치 명일점,37.5444932,126.9447819,패스트푸드,3.8,8,7
마포구,"서울특별시 마포구 독막로 84 (상수동, 2층일부)",미스터피자마포점,37.5475888,126.9226284,패스트푸드,2,9,4
강남구,"서울특별시 마포구 독막로 295 (염리동,삼부골든타워 102,103호)",투썸플레이스선릉점,37.5447554,126.9460257,패스트푸드,3.2,6,8
중구,서울특별시 동작구 여의대방로36길 22 (대방동),서브웨이 시청점,37.5051485,126.9240274,패스트푸드,3.1,12,16
광진구,"서울특별시 마포구 광성로 36 (신수동, 1층)",피자나라치킨공주,37.5496991,126.9369643,패스트푸드,4.7,12,3
서초구,서울특별시 동작구 장승배기로 164 (노량진동),피자마루 서문여고점,37.5123258,126.9404051,패스트푸드,3.3,4,3
중랑구,서울특별시 동작구 장승배기로10길 17 (상도동),자가제빵선명희피자본점,37.5047501,126.9400174,패스트푸드,5,9,954
영등포구,"서울특별시 동작구 흑석로 101-7, 2층 (흑석동)",피자마루,37.5080571,126.9607653,패스트푸드,3.7,3,4
강북구,"서울특별시 동작구 흑석로13마길 65-3, 지하1층 (흑석동)",빽다방 강북구청점,37.5074809,126.9590968,패스트푸드,2.5,15,5
강남구,"서울특별시 마포구 대흥로 94 (대흥동, 1층 일부)",퀴즈노스 대치1호점,37.5481102,126.9424526,패스트푸드,0,0,0
금천구,"서울특별시 마포구 독막로 311 (염리동, 재화스퀘어 B111호)",도미노피자가산점,37.5439955,126.9474817,패스트푸드,1.2,17,3
광진구,"서울특별시 마포구 독막로 104 (상수동, 1층일부)",롯데컬처웍스,37.5475147,126.9250548,패스트푸드,0,0,1
한남동,"서울특별시 동작구 현충로 100, 1층 (흑석동)",비에이치씨치킨,37.507736,126.9646035,패스트푸드,4,4,2
성동구,서울특별시 동작구 여의대방로44길 10 (대방동),피자닷컴,37.5074604,126.9247494,패스트푸드,0,0,1
관악구,"서울특별시 마포구 독막로 19 (합정동,1층서쪽일부)",피자마루 신림1동점,37.548656,126.9156965,패스트푸드,4.4,9,3
신사동,"서울특별시 동작구 현충로 102, 지상층 (흑석동)",춘천 우미 닭갈비,37.5075631,126.9647973,패스트푸드,4,9,12
강남구,"서울특별시 마포구 대흥로 79 (대흥동, 동양엔파트상가 지하1층 107호)",쏭스클럽 삼성점,37.547484,126.9412488,패스트푸드,4.7,6,1
용산구,"서울특별시 동작구 여의대방로24길 79, 1층 (대방동)",아이러브피자&치킨,37.4987176,126.9245079,패스트푸드,4,7,3
강동구,서울특별시 마포구 굴레방로9길 3 (아현동),카토멘 명일역점,37.5567789,126.9555238,패스트푸드,4,5,3
구로구,"서울특별시 마포구 독막로 72 (상수동, 1층)",포테이토,37.5476002,126.9214115,패스트푸드,0,0,0
강남구,서울특별시 동작구 흑석로6길 16 (흑석동),스코파 더 쉐프,37.5059478,126.9567864,패스트푸드,4.2,16,71
영등포구,"서울특별시 동작구 장승배기로11가길 11, 상가동 지하1층 201호 (상도동, 상도파크자이)",빈자리,37.5058647,126.9384711,패스트푸드,4.5,2,0
마포구,"서울특별시 마포구 독막로 76-1 (상수동, 1층일부(102호))",피자마루대흥역점,37.5475572,126.9219075,패스트푸드,4.6,5,9
강북구,"서울특별시 동작구 흑석로11길 4, 지하1, 지상1층 (흑석동)",씨지브이미아,37.5079022,126.9605357,패스트푸드,2.3,16,16
강남구,"서울특별시 동작구 흑석로 81, 지상2층 (흑석동)",오버 더 카운터,37.5070685,126.9586173,패스트푸드,3.8,16,8
강남구,서울특별시 동작구 흑석로13마길 64 (흑석동),츄잇,37.5073585,126.9588442,패스트푸드,0,0,0
동작구,서울특별시 마포구 독막로 240 (신수동),피자마루,37.5466584,126.9400917,패스트푸드,5,2,0
구로구,"서울특별시 마포구 독막로 73, 2층 (상수동)",카페민트,37.5479731,126.9214838,패스트푸드,5,2,15
