소재지전체주소,도로명전체주소,사업장명,위도,경도,업태구분명,kakao_star,kakao_star_nums,kakao_blog_review
영등포구,"서울특별시 성북구 오패산로 46 (하월곡동, 두산@부상가104호)",만복국수여의도역점,37.6070692,127.0387215,한식,3.3,4,2
송파구,"서울특별시 성북구 삼선교로24길 51 (삼선동5가,1층)",핀치,37.5881832,127.0169436,한식,0,0,0
중랑구,"서울특별시 송파구 석촌호수로 210, 지하1층 22호 (석촌동, 석촌호수효성해링턴타워)",그린하우스,37.5065795,127.1003607,한식,5,1,0
영등포구,서울특별시 서대문구 연세로5가길 28 (창천동),명가칼국수,37.5574211,126.9351622,한식,3.7,3,4
영등포구,"서울특별시 송파구 오금로13길 9, 석정빌딩 지하1층 10호 (방이동)",지평선닭곰탕,37.5134283,127.108711,한식,4.2,9,4
중구,"서울특별시 마포구 망원로 19 (망원동,107호)",이조갈비,37.5563112,126.8991161,한식,4.3,3,12
중구,서울특별시 송파구 올림픽로12길 16 (잠실동),국고집,37.510148,127.0829881,한식,4.3,22,61
종로구,서울특별시 성북구 동소문로20길 29 (동선동1가),소담,37.5913486,127.0169244,한식,0,0,0
서초구,"서울특별시 송파구 석촌호수로12길 10 (잠실동,1층)",샛집남원추어탕,37.5092385,127.0853258,한식,3.3,3,2
은평구,"서울특별시 송파구 중대로18길 6, 지상1층 (가락동)",해송면옥,37.4977282,127.1261227,한식,5,1,0
서초구,"서울특별시 성동구 상원4길 4, 2층 (성수동1가)",진대감,37.5473619,127.0488158,한식,3.8,56,100
동대문구,"서울특별시 성동구 아차산로13길 23-1, 지상1층 (성수동2가)",명륜진사갈비 신설동점,37.545466,127.0613346,한식,2.9,13,2
은평구,"서울특별시 서초구 올림픽대로 2085-14, 채빛섬 1층 (반포동)",국수 가,37.5124526,126.995981,한식,3.6,14,39
용산구,"서울특별시 서초구 바우뫼로41길 13, 1층 (양재동)",상차림,37.4811194,127.0410165,한식,4.3,6,6
은평구,"서울특별시 서대문구 이화여대7길 14, 1호 1층 (대현동)",고기요,37.5588249,126.9449564,한식,5,1,1
서대문구,"서울특별시 서초구 서운로6길 26, 1층 (서초동)",홍제닭한마리,37.485536,127.0308258,한식,0,0,0
중랑구,"서울특별시 성동구 행당로17길 22 (행당동, 행당동 292-45 지상1층)",대명이네해장국,37.5602408,127.033233,한식,5,1,0
성북구,"서울특별시 송파구 송파대로 167, 문정역테라타워 B동 1층 127호 (문정동)",백이손두부,37.4846615,127.1209336,한식,0,0,8
중랑구,서울특별시 성동구 청계천로10나길 80 (마장동),한도니,37.5701204,127.0372403,한식,3.6,11,33
중구,"서울특별시 송파구 성내천로21길 12 (마천동,외1필지 신동아아파트상가 101호)",조선마루,37.5004316,127.1447443,한식,0,0,3
강동구,"서울특별시 송파구 풍성로 27-1, 1층 (풍납동)",여로집 천호점,37.534784,127.1158216,한식,3,2,15
서초구,서울특별시 송파구 가락로 257 (방이동),본죽 방배상문고점,37.5109538,127.1184693,한식,4,6,1
서대문구,"서울특별시 성동구 용답중앙15길 9-1 (용답동, 58-4 지상1층)",고향전집,37.5645308,127.0534495,한식,0,0,0
광진구,"서울특별시 도봉구 도봉로169나길 12, 1층 (도봉동)",강희자얼큰손만두국,37.6791633,127.0434773,한식,4.4,8,27
서대문구,서울특별시 송파구 삼학사로11길 14 (삼전동),주당,37.5016628,127.0954449,한식,0,0,0
영등포구,"서울특별시 서대문구 연희로 94, 지상2층 (연희동)",행운식당,37.5663627,126.9307798,한식,0,0,0
송파구,"서울특별시 성동구 매봉길 13, 상가동 지하4층 422호 (옥수동, 래미안 옥수리버젠)",장지생꼬치구이,37.5453087,127.0156973,한식,0,0,0
종로구,"서울특별시 송파구 올림픽로 295, 지하1층 (신천동, 삼성생명 잠실사옥)",포차싸롱,37.5149274,127.1032491,한식,0,0,0
중구,"서울특별시 송파구 올림픽로 348 (방이동,2층.3층.4층)",진땡이순대국,37.5159235,127.1090032,한식,3.7,18,3
양천구,서울특별시 서초구 사평대로57길 58 (반포동),장원가마솥순대국,37.5068486,127.0225607,한식,4.6,9,2
강동구,"서울특별시 양천구 목동중앙서로 40 (목동,(1층))",동래 파전,37.5328574,126.8682619,한식,0,0,1
양천구,"서울특별시 서초구 신반포로 45 (반포동,(1층 주택 6호))",골목길연탄구이,37.5040998,126.9899654,한식,4.7,3,2
광진구,"서울특별시 성동구 왕십리로22길 10-1 (도선동,(지상1층))",조가네석쇠한판,37.5629086,127.0348911,한식,0,0,0
서초구,"서울특별시 송파구 마천로41길 22, 지상1층 102-1호 (마천동)",산골짜기 다람쥐,37.4969175,127.1499552,한식,4,2,2
송파구,"서울특별시 서초구 서초중앙로 14, 지하1층 (서초동)",송파해물탕,37.4836095,127.0178819,한식,3.9,13,18
서대문구,"서울특별시 서초구 서초대로75길 37, 1층 (서초동, 제이와이빌딩 주건축물제1동)",지호한방삼계탕 연희점,37.5007369,127.0247641,한식,3.3,8,7
종로구,"서울특별시 송파구 송이로23길 10, 지상1층 (가락동, 무지개빌딩 )",숙성의 미 껍데기 익선점,37.4952346,127.1245773,한식,3.5,4,26
강서구,서울특별시 송파구 토성로15길 3-3 (풍납동),명동김밥,37.5293235,127.1169501,한식,4.7,11,16
강남구,"서울특별시 성동구 연무장15길 11, 가동 1층 B101호 (성수동2가)",정 한뿌리죽 삼성점,37.54283,127.0589872,한식,0,0,10
서초구,"서울특별시 서초구 태봉로 68, 우면프라자Ⅱ 1층 104호 (우면동)",본 가마 순대국,37.4643185,127.0253426,한식,2.5,2,7
성동구,"서울특별시 마포구 월드컵북로42다길 28, 지1층 (상암동)",산메촌,37.5762341,126.8969904,한식,0,0,38
중구,"서울특별시 마포구 양화로16길 34, 101호 (서교동)",재정이네,37.5528847,126.9213479,한식,0,0,0
노원구,"서울특별시 성동구 연무장7가길 10, 1층 (성수동2가)",먹쉬돈나,37.5429074,127.0553365,한식,4.3,4,12
중랑구,"서울특별시 송파구 오금로59길 10, 1층 (거여동)",소육옥,37.4942839,127.144345,한식,0,0,5
송파구,"서울특별시 성동구 용답중앙15길 10, 지하1층 (용답동, 14-8)",신사 소곱창,37.5642313,127.0536277,한식,2.3,3,48
성동구,"서울특별시 마포구 토정로37길 46, 지1-동 5호호 (도화동,정우)",원할머니보쌈,37.5426083,126.9473125,한식,2.3,8,15
은평구,"서울특별시 마포구 동교로23길 64, 지층 (연남동)",싱싱바다 오징어,37.558557,126.91893,한식,5,1,0
양천구,"서울특별시 서초구 강남대로65길 10, 3층 (서초동)",아우네매운갈비찜,37.5005009,127.0249641,한식,1,1,1
중랑구,"서울특별시 서초구 효령로31길 19, 2층 (방배동)",두채사랑 전주콩나물 국밥,37.4820404,126.9961498,한식,4.9,17,6
용산구,"서울특별시 마포구 임정로 51-1, 1층동 (신공덕동)",더함,37.5444514,126.9576515,한식,3.3,39,37
성북구,"서울특별시 송파구 삼전로 91, 지상1층 (잠실동)",청기와,37.5066634,127.0896109,한식,0,0,0
중구,서울특별시 마포구 월드컵북로 125 (성산동),"종로칼국수,손만두",37.5640934,126.9125864,한식,5,2,1
은평구,"서울특별시 마포구 동교로29길 32 (연남동, 1층 일부)",마포구이마당,37.5619309,126.9232802,한식,3.9,25,218
서초구,"서울특별시 송파구 가락로16길 2-6, 지상1층 (석촌동)",진대감강남역교보타워,37.5010417,127.1081235,한식,4.1,18,98
송파구,서울특별시 성동구 마조로3가길 30 (행당동),LA갈비찜닭&냉면,37.5598138,127.0403235,한식,0,0,1
동대문구,"서울특별시 성동구 왕십리광장로 17, 1층 C-02호 (행당동, 왕십리민자역사)",인생설렁탕 경희대점,37.5614086,127.0384812,한식,4.3,7,17
종로구,"서울특별시 송파구 오금로53길 55, 1층 101호 (거여동)",별미곱창,37.498752,127.1448317,한식,4.2,14,38
영등포구,"서울특별시 서대문구 연희맛로 38, 지하1층 (연희동)",우산속,37.5681844,126.9311788,한식,0,0,0
영등포구,"서울특별시 송파구 가락로 136, 지상1층 (송파동)",춘천1번지닭갈비,37.5021554,127.1111499,한식,0,0,3
종로구,"서울특별시 마포구 희우정로 127 (망원동,1층)",전라도 밥상,37.5556532,126.8993685,한식,3.9,9,13
강서구,서울특별시 성동구 성수일로12길 19-1 (성수동2가),독한도깨비족발,37.5484365,127.0534522,한식,3.7,3,0
서초구,"서울특별시 성동구 무학봉15길 26-1, 1층 6호 (하왕십리동)",전주콩뿌리콩나물국밥,37.5635684,127.0304706,한식,3.3,5,13
양천구,서울특별시 서초구 강남대로8길 16-3 (양재동),기찬매운닭발,37.4680761,127.0420919,한식,0,0,13
